# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,4.410934542812681713e-01,3.205578870824195292e-02
2.094395102393195318e-01,8.504079024186645963e-01,6.116509832718998799e-03
4.188790204786390636e-01,8.313410426383781582e-01,1.014000814426262035e-03
6.283185307179586232e-01,7.624954304412557837e-01,6.707604897747630182e-04
8.377580409572781273e-01,6.689620512660311435e-01,5.844549490541043864e-04
1.047197551196597631e+00,6.211952933655262576e-01,1.252921826166898071e-03
1.256637061435917246e+00,6.267368266219671691e-01,1.894161268782146822e-03
1.466076571675236861e+00,5.830064819235490914e-01,2.487184464596507456e-03
1.675516081914556255e+00,5.324380434306738019e-01,3.555957970330121589e-03
1.884955592153875870e+00,4.934397290527096636e-01,4.031768894529475476e-03
2.094395102393195263e+00,4.691788435245790034e-01,3.740641685150308728e-03
2.303834612632514656e+00,4.401221416092969685e-01,3.661407998365005020e-03
2.513274122871834493e+00,4.143834296479413926e-01,3.517556524296419889e-03
2.722713633111154330e+00,3.923199355280933553e-01,3.158619847522304170e-03
2.932153143350473723e+00,3.611213137224772440e-01,5.286825128452653233e-03
3.141592653589793116e+00,3.430088061367340124e-01,3.492007903803293588e-03
