# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,9.662530691107250602e-01,6.161333439599833706e-03
2.094395102393195318e-01,1.077228241526035246e+00,7.381362010913362047e-03
4.188790204786390636e-01,1.145476894414009461e+00,7.347762408388117464e-03
6.283185307179586232e-01,1.191617553563530052e+00,8.060559081231573678e-03
8.377580409572781273e-01,1.199052471107365125e+00,8.767897706269435487e-03
1.047197551196597631e+00,1.203474195035556304e+00,8.883981083974626727e-03
1.256637061435917246e+00,1.197541137227040142e+00,8.335775614327351271e-03
1.466076571675236861e+00,1.182855354492540201e+00,8.098508207174228216e-03
1.675516081914556255e+00,1.170189291199693171e+00,8.118223366866447743e-03
1.884955592153875870e+00,1.145954275263251221e+00,8.440292742189017122e-03
2.094395102393195263e+00,1.113216569969247782e+00,8.876001431942850961e-03
2.303834612632514656e+00,1.086770592705132765e+00,9.841340692325497783e-03
2.513274122871834493e+00,1.055015040703236151e+00,9.762013700265647492e-03
2.722713633111154330e+00,1.031876193775749906e+00,1.012115655839684360e-02
2.932153143350473723e+00,9.817820324702415391e-01,1.071331342586515425e-02
3.141592653589793116e+00,9.548455049631505709e-01,1.056797707962058019e-02
