# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,2.728085440980211884e-01,2.811826117436906636e-02
2.094395102393195318e-01,2.742224756489644033e-01,2.736585471992403207e-02
4.188790204786390636e-01,3.418074107808388162e-01,2.678363695452577048e-02
6.283185307179586232e-01,3.832271689060350872e-01,2.688531227806839272e-02
8.377580409572781273e-01,4.255096678671572152e-01,2.549539806856813279e-02
1.047197551196597631e+00,4.536293835358566340e-01,2.481023726475099778e-02
1.256637061435917246e+00,4.636319578840782385e-01,2.341416436048943811e-02
1.466076571675236861e+00,5.293970321938102908e-01,2.268248791180472318e-02
1.675516081914556255e+00,5.360239413869923863e-01,2.239110091880101502e-02
1.884955592153875870e+00,5.531198675132823483e-01,2.054256665005246493e-02
2.094395102393195263e+00,5.536361901237176752e-01,1.994217603232320904e-02
2.303834612632514656e+00,5.870147849840080534e-01,1.839569056752960591e-02
2.513274122871834493e+00,5.939184394902167208e-01,1.603629955412981881e-02
2.722713633111154330e+00,6.021797473989951577e-01,1.580444945155301886e-02
2.932153143350473723e+00,6.304873335669672896e-01,1.391237467506487198e-02
3.141592653589793116e+00,6.185930291212828891e-01,1.418870082249547304e-02
