# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,4.886462004947119686e-01,3.425238592686560141e-02
2.094395102393195318e-01,4.926053401855036151e-01,3.425029926160461091e-02
4.188790204786390636e-01,5.189189351130820693e-01,3.454208180084344243e-02
6.283185307179586232e-01,5.169831828948093788e-01,3.449764626420328412e-02
8.377580409572781273e-01,4.798221132726094851e-01,3.429527102026928148e-02
1.047197551196597631e+00,5.151932016291069782e-01,3.499308031761335508e-02
1.256637061435917246e+00,5.317972362752259041e-01,3.503723383231500954e-02
1.466076571675236861e+00,4.985414763134097260e-01,3.278841452226998604e-02
1.675516081914556255e+00,5.018290571428190017e-01,3.383123912409299189e-02
1.884955592153875870e+00,4.645319911988798345e-01,3.592441602720402444e-02
2.094395102393195263e+00,4.634674983403168080e-01,3.413061375234482248e-02
2.303834612632514656e+00,4.567362023703566143e-01,3.657940527340870079e-02
2.513274122871834493e+00,4.239635990903611873e-01,3.688206743020591011e-02
2.722713633111154330e+00,4.356825288871069568e-01,3.761941916728646362e-02
2.932153143350473723e+00,3.686888490595126022e-01,4.039456719165510773e-02
3.141592653589793116e+00,3.429303720310873937e-01,4.069897989470449423e-02
