# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,4.962724089733452915e-02,7.604597035090798589e-03
2.094395102393195318e-01,1.009288283953531651e-01,1.011702053687718074e-02
4.188790204786390636e-01,1.731501992118977262e-01,9.727933531570266343e-03
6.283185307179586232e-01,2.291550243641578832e-01,9.234515073577274913e-03
8.377580409572781273e-01,2.587164654188177648e-01,8.855480446677289549e-03
1.047197551196597631e+00,2.673497100654586012e-01,7.971172756230578485e-03
1.256637061435917246e+00,2.818423889021207107e-01,7.748858487736622752e-03
1.466076571675236861e+00,2.909730748530783284e-01,7.196390919149840866e-03
1.675516081914556255e+00,2.850361384610659576e-01,6.768930367103884009e-03
1.884955592153875870e+00,2.906153592670064900e-01,6.360923310945807395e-03
2.094395102393195263e+00,2.843635624627569580e-01,5.973187372371615775e-03
2.303834612632514656e+00,2.754761887520740249e-01,5.654681628896534619e-03
2.513274122871834493e+00,2.806457017283124911e-01,5.355700033518835841e-03
2.722713633111154330e+00,2.752445668364124076e-01,5.176419244808081604e-03
2.932153143350473723e+00,2.704781052088401916e-01,5.236385881411655119e-03
3.141592653589793116e+00,2.677014996078356246e-01,4.472803649255626714e-03
