# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,4.987294638112821366e-01,2.945592802880727876e-02
2.094395102393195318e-01,8.015701036425811887e-01,1.097986663668132010e-02
4.188790204786390636e-01,8.370926877251860798e-01,5.382395440664761513e-03
6.283185307179586232e-01,8.415997024158629047e-01,2.930414386760404194e-03
8.377580409572781273e-01,8.239755699673546596e-01,2.291752051537305004e-03
1.047197551196597631e+00,7.978185418222991654e-01,1.955723918838340840e-03
1.256637061435917246e+00,7.610242897625719705e-01,1.585868792513053706e-03
1.466076571675236861e+00,7.172098542407199240e-01,1.191467493090392609e-03
1.675516081914556255e+00,6.723633309035630390e-01,1.176098161352248173e-03
1.884955592153875870e+00,6.306980840076678030e-01,1.173809940665347532e-03
2.094395102393195263e+00,6.007285816691232405e-01,1.108097802666452780e-03
2.303834612632514656e+00,5.805753337311679863e-01,1.162245460344024303e-03
2.513274122871834493e+00,5.613722358791385370e-01,9.459562496740552690e-04
2.722713633111154330e+00,5.465453524477488223e-01,1.587145632400927507e-03
2.932153143350473723e+00,5.381373857932857385e-01,1.908553348130733558e-03
3.141592653589793116e+00,5.487666750513731095e-01,1.269661914942671809e-03
