# time,average_effective_velocity,95CLI
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.215183306378338629e-01,1.591103649391407276e-02,7.046441803009199575e-03
1.476670468100590716e-01,2.923619669845815491e-02,1.284193432789574457e-02
1.794425301857724697e-01,4.047462337259061932e-02,1.760589759095266063e-02
2.180555671360417669e-01,5.005605193241934731e-02,2.151838815673694574e-02
2.649774850465789755e-01,5.835432011310125178e-02,2.472616127664489794e-02
3.219962163947186484e-01,6.569555372861546338e-02,2.734852454271305411e-02
3.912844268798491010e-01,7.237092047495671809e-02,2.948151326577726564e-02
4.754823035902082662e-01,7.865025993170429719e-02,3.120121606356295388e-02
5.777981578011381902e-01,8.479331484339894254e-02,3.256657582498641290e-02
7.021306758161000028e-01,9.105714991155784699e-02,3.362190945423512711e-02
8.532174761478656944e-01,9.770067616150186762e-02,3.439864216798856067e-02
1.036815633725144625e+00,1.049646345058902336e-01,3.491373597599233686e-02
1.259921049894873413e+00,1.130348933090321445e-01,3.516017392330603175e-02
1.531035027186919528e+00,1.220011279685787042e-01,3.509623632529963039e-02
1.860488206518050802e+00,1.318667948376462118e-01,3.465598979439916960e-02
2.260834210274509815e+00,1.427671503500588801e-01,3.383700981408765962e-02
2.747327990814637744e+00,1.541026811779893646e-01,3.262345568447175270e-02
3.338507111583890463e+00,1.639982759825151515e-01,3.093229396690576338e-02
4.056898110222107334e+00,1.707990405972906744e-01,2.868402631687719251e-02
4.929874859219732564e+00,1.727048140698960732e-01,2.581535568949289150e-02
5.990701631458082765e+00,1.672209492588731805e-01,2.243424608128629857e-02
7.279800616041338657e+00,1.547460403224192871e-01,1.931288806871610253e-02
8.846292182376176427e+00,1.431284986428243144e-01,1.761122023048536031e-02
1.074986658336873369e+01,1.427888997530460946e-01,1.735477550491113310e-02
1.306305841790402233e+01,1.550426174776865507e-01,1.764045655155515452e-02
1.587401051968200072e+01,1.643245148677363321e-01,1.745629733142736034e-02
1.928983258879170748e+01,1.747497841141347485e-01,1.703844362230056558e-02
2.344068254473251400e+01,1.823018408919606925e-01,1.693841870036342373e-02
2.848472611847307334e+01,2.012411177202708956e-01,1.668556140824577552e-02
3.461416366592753491e+01,2.179321363715622795e-01,1.642476930724576581e-02
4.206255385108273970e+01,2.357561750361452935e-01,1.563221111212866402e-02
5.111371326347565969e+01,2.560348285047040484e-01,1.466507282000337892e-02
6.211253108478470608e+01,2.751834449944650651e-01,1.347763843596474359e-02
7.547811089113595528e+01,2.892152018515957712e-01,1.201525337126716809e-02
9.171974035188149799e+01,2.967449863514965980e-01,1.045585837576473720e-02
1.114562973409620952e+02,2.982776211877010142e-01,8.775722693797810559e-03
1.354398319194774558e+02,2.928972276789298390e-01,7.534937678492279953e-03
1.645842227672370655e+02,2.856323269811180676e-01,6.453261887210439730e-03
2.000000000000000284e+02,2.754761887520740249e-01,5.654681628896534619e-03
