# time,average_effective_velocity,95CLI
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.215183306378338629e-01,8.029608134553473109e-02,7.147462462021541944e-03
1.476670468100590716e-01,1.474917653248558336e-01,1.301809333890859184e-02
1.794425301857724697e-01,2.040663526212940226e-01,1.782510501496607780e-02
2.180555671360417669e-01,2.521961727646659934e-01,2.173896414568820060e-02
2.649774850465789755e-01,2.937756976574060763e-01,2.489758726759883425e-02
3.219962163947186484e-01,3.304386118067011990e-01,2.740889165979128878e-02
3.912844268798491010e-01,3.636009001004159580e-01,2.935570457667832645e-02
4.754823035902082662e-01,3.944651325969483202e-01,3.080043050006181157e-02
5.777981578011381902e-01,4.239549283421028547e-01,3.178346915505189663e-02
7.021306758161000028e-01,4.525372275028563540e-01,3.229532415095959924e-02
8.532174761478656944e-01,4.798934077590867875e-01,3.222497211063723999e-02
1.036815633725144625e+00,5.054677687458828395e-01,3.148780973366247654e-02
1.259921049894873413e+00,5.280490727992184219e-01,3.012660936635085107e-02
1.531035027186919528e+00,5.470751551062488227e-01,2.811641145574602513e-02
1.860488206518050802e+00,5.630180937207712732e-01,2.541658020127784273e-02
2.260834210274509815e+00,5.796018927655262054e-01,2.246467976316858517e-02
2.747327990814637744e+00,6.016966828377791066e-01,2.013317541873576449e-02
3.338507111583890463e+00,6.246444346049441210e-01,1.794801412111127897e-02
4.056898110222107334e+00,6.410991772988944293e-01,1.501321843126572977e-02
4.929874859219732564e+00,6.601498951033648588e-01,1.287210584999674487e-02
5.990701631458082765e+00,6.791511819396212069e-01,1.074391179486980895e-02
7.279800616041338657e+00,6.953757356184456784e-01,9.095569678521141579e-03
8.846292182376176427e+00,7.075280481301409186e-01,7.409789126665796734e-03
1.074986658336873369e+01,7.185747936326567498e-01,6.052451532742771263e-03
1.306305841790402233e+01,7.276544344253850216e-01,5.035102752899860146e-03
1.587401051968200072e+01,7.352512470018126578e-01,4.190716549519967436e-03
1.928983258879170748e+01,7.409499977636460066e-01,3.442564017598086137e-03
2.344068254473251400e+01,7.458031914792772055e-01,2.862634335517815539e-03
2.848472611847307334e+01,7.496868208614341222e-01,2.334790640430259821e-03
3.461416366592753491e+01,7.529871433283559234e-01,1.938779986648994126e-03
4.206255385108273970e+01,7.559526371499416530e-01,1.629563962487504082e-03
5.111371326347565969e+01,7.575558752524157446e-01,1.341903906746985198e-03
6.211253108478470608e+01,7.591972264048550967e-01,1.131789718743722107e-03
7.547811089113595528e+01,7.605037260400167032e-01,9.771471777752325106e-04
9.171974035188149799e+01,7.612792981869335174e-01,9.425917903813582372e-04
1.114562973409620952e+02,7.620894322315915348e-01,8.374054732021780131e-04
1.354398319194774558e+02,7.624893661840348447e-01,7.435508699062595966e-04
1.645842227672370655e+02,7.624018563662451342e-01,7.105937934241255858e-04
2.000000000000000284e+02,7.624954304412557837e-01,6.707604897747630182e-04
