# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,5.007356604287138691e-01,2.996195607803622471e-02
2.094395102393195318e-01,8.071244790493635746e-01,1.007590610101069366e-02
4.188790204786390636e-01,8.340838358614699466e-01,5.823204568112021196e-03
6.283185307179586232e-01,8.410526420423556360e-01,3.033743243134154506e-03
8.377580409572781273e-01,8.242478425008492593e-01,2.562525499045091668e-03
1.047197551196597631e+00,7.972634521251517059e-01,1.894122692226257038e-03
1.256637061435917246e+00,7.611256379666134775e-01,1.495360109885045556e-03
1.466076571675236861e+00,7.154175976018256611e-01,1.289002421631075569e-03
1.675516081914556255e+00,6.730708989073134196e-01,1.198044078366814662e-03
1.884955592153875870e+00,6.320834533189688687e-01,1.050581760891669200e-03
2.094395102393195263e+00,6.009504951385291616e-01,1.001987038830203132e-03
2.303834612632514656e+00,5.804578593436963141e-01,1.157162621672682291e-03
2.513274122871834493e+00,5.612721403204878889e-01,1.071150449075078869e-03
2.722713633111154330e+00,5.470996317479316362e-01,1.507087109057621494e-03
2.932153143350473723e+00,5.356456842658519069e-01,1.826485014774456052e-03
3.141592653589793116e+00,5.489377374507561358e-01,1.239312596515414547e-03
