# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,4.637124871535515669e-01,3.412599311878539848e-02
2.094395102393195318e-01,4.581751459926687864e-01,3.596312405175969285e-02
4.188790204786390636e-01,4.870934332358944352e-01,3.472126759171092342e-02
6.283185307179586232e-01,4.605049644732970293e-01,3.382732749443453230e-02
8.377580409572781273e-01,4.427752596670522234e-01,3.389814998609400054e-02
1.047197551196597631e+00,4.364211559063069790e-01,3.526819735338421191e-02
1.256637061435917246e+00,4.337932968798104416e-01,3.534478955730285116e-02
1.466076571675236861e+00,3.847352284846440873e-01,3.596433152488261176e-02
1.675516081914556255e+00,4.103697495937609352e-01,3.615666890795777438e-02
1.884955592153875870e+00,3.624004685309611395e-01,3.788877274346389573e-02
2.094395102393195263e+00,3.461714746967577971e-01,3.809274897433017476e-02
2.303834612632514656e+00,2.937038548866124921e-01,4.147153412442230319e-02
2.513274122871834493e+00,2.954276140904220638e-01,4.035999638157004854e-02
2.722713633111154330e+00,2.604897683498731409e-01,4.387319361077780810e-02
2.932153143350473723e+00,2.960219997432736450e-01,4.420229013723525613e-02
3.141592653589793116e+00,2.380107927143905178e-01,4.465879261205765033e-02
