# time,average_effective_velocity,95CLI
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.215183306378338629e-01,1.681363144538866247e-02,7.185494801578493421e-03
1.476670468100590716e-01,3.081476435901307764e-02,1.308033063619025785e-02
1.794425301857724697e-01,4.253471508346990532e-02,1.790808104675046739e-02
2.180555671360417669e-01,5.241926038530144577e-02,2.185083002548367931e-02
2.649774850465789755e-01,6.085218438907183391e-02,2.505662716119492345e-02
3.219962163947186484e-01,6.816336502449756030e-02,2.764485255428943480e-02
3.912844268798491010e-01,7.464282928613541479e-02,2.971046885766371812e-02
4.754823035902082662e-01,8.055158145901646083e-02,3.132759218199999279e-02
5.777981578011381902e-01,8.613042086890410065e-02,3.255251817271952175e-02
7.021306758161000028e-01,9.160564273894641896e-02,3.342647840112520502e-02
8.532174761478656944e-01,9.719085900050808413e-02,3.397875742026851276e-02
1.036815633725144625e+00,1.030689588944952578e-01,3.422985469746585296e-02
1.259921049894873413e+00,1.093524100542497268e-01,3.419220991905713020e-02
1.531035027186919528e+00,1.160057212531791088e-01,3.386691385287939754e-02
1.860488206518050802e+00,1.229634517079771922e-01,3.325475521984198879e-02
2.260834210274509815e+00,1.302064493509239307e-01,3.238696491502690566e-02
2.747327990814637744e+00,1.374626510800255608e-01,3.124584311372181900e-02
3.338507111583890463e+00,1.439702060374765391e-01,2.972795930105030793e-02
4.056898110222107334e+00,1.484409081902233751e-01,2.759192769527580788e-02
4.929874859219732564e+00,1.494928838611319644e-01,2.481744522930711891e-02
5.990701631458082765e+00,1.461550755459233852e-01,2.187020726538245474e-02
7.279800616041338657e+00,1.396731013578481340e-01,1.920058496410698146e-02
8.846292182376176427e+00,1.346210268295537082e-01,1.744427948269479389e-02
1.074986658336873369e+01,1.380329403491387108e-01,1.696200523045346756e-02
1.306305841790402233e+01,1.451886182889227384e-01,1.719923040696971425e-02
1.587401051968200072e+01,1.483533893245788104e-01,1.699585564854054487e-02
1.928983258879170748e+01,1.550969617356909580e-01,1.677354676802510214e-02
2.344068254473251400e+01,1.632792787669103407e-01,1.665720741736336982e-02
2.848472611847307334e+01,1.697745104003682004e-01,1.640166685233217583e-02
3.461416366592753491e+01,1.781790810174446460e-01,1.628424060860184097e-02
4.206255385108273970e+01,1.852544318710120652e-01,1.579791463271231974e-02
5.111371326347565969e+01,1.937869962654726053e-01,1.543009534741553342e-02
6.211253108478470608e+01,2.026266683874150543e-01,1.491329659143867704e-02
7.547811089113595528e+01,2.158751519820504838e-01,1.411568604686705940e-02
9.171974035188149799e+01,2.293663467201810247e-01,1.332994698249249758e-02
1.114562973409620952e+02,2.415314852840951265e-01,1.230262215661790878e-02
1.354398319194774558e+02,2.520238154368261152e-01,1.104729048019927398e-02
1.645842227672370655e+02,2.581647938502686923e-01,9.840342645991066381e-03
2.000000000000000284e+02,2.587164654188177648e-01,8.855480446677289549e-03
