# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,5.246154420662092477e-01,3.194263927248376655e-02
2.094395102393195318e-01,8.127611921835521391e-01,1.024245976203743899e-02
4.188790204786390636e-01,8.446022918217266362e-01,4.827643866018593161e-03
6.283185307179586232e-01,8.412159133283899637e-01,3.245650879775614003e-03
8.377580409572781273e-01,8.216865598441532859e-01,2.431603700018930472e-03
1.047197551196597631e+00,7.964253740725349973e-01,1.790369852487922690e-03
1.256637061435917246e+00,7.587044381927818826e-01,1.436090414265093042e-03
1.466076571675236861e+00,7.137584478106753227e-01,1.233334736097879908e-03
1.675516081914556255e+00,6.706654688351237903e-01,1.078762010477311763e-03
1.884955592153875870e+00,6.321246982635906342e-01,1.089403547497141663e-03
2.094395102393195263e+00,6.072226184792940407e-01,1.515334634662445336e-03
2.303834612632514656e+00,6.225735840970798574e-01,1.726185130223916809e-03
2.513274122871834493e+00,6.266584935364463149e-01,2.144775509828341677e-03
2.722713633111154330e+00,6.216906083078361789e-01,1.800717271586520707e-03
2.932153143350473723e+00,6.039779446700443977e-01,1.859045062824265463e-03
3.141592653589793116e+00,5.883422769459218937e-01,2.204585885274464637e-03
