# time,average_effective_velocity,95CLI
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.215183306378338629e-01,3.504390235018501332e-01,6.966049293780192213e-03
1.476670468100590716e-01,6.400113792718246097e-01,1.268441139343814798e-02
1.794425301857724697e-01,8.797225356277037500e-01,1.736932675296943077e-02
2.180555671360417669e-01,1.078713979895055353e+00,2.119535441444196297e-02
2.649774850465789755e-01,1.244576097530028624e+00,2.430134699805229850e-02
3.219962163947186484e-01,1.383630885677694433e+00,2.679585189844362406e-02
3.912844268798491010e-01,1.501158582663888019e+00,2.876197221916513766e-02
4.754823035902082662e-01,1.601567732257148657e+00,3.026354802758787765e-02
5.777981578011381902e-01,1.688506227823702854e+00,3.135245977521131794e-02
7.021306758161000028e-01,1.764885675095025919e+00,3.206865324981721110e-02
8.532174761478656944e-01,1.832800069555921008e+00,3.240664209902039544e-02
1.036815633725144625e+00,1.893134024193421583e+00,3.221352666704522388e-02
1.259921049894873413e+00,1.945840123376515240e+00,3.122930194841683563e-02
1.531035027186919528e+00,1.992716179345472183e+00,2.966377998615283423e-02
1.860488206518050802e+00,2.034499472399564191e+00,2.785753948685546280e-02
2.260834210274509815e+00,2.069694552972760615e+00,2.605597952391947025e-02
2.747327990814637744e+00,2.097813046755661492e+00,2.452153220033325559e-02
3.338507111583890463e+00,2.119864979118659232e+00,2.327460869894615314e-02
4.056898110222107334e+00,2.141931952572088793e+00,2.219742765544577626e-02
4.929874859219732564e+00,2.163913414578725991e+00,2.128258618105565575e-02
5.990701631458082765e+00,2.180272055103510187e+00,2.110517230433722052e-02
7.279800616041338657e+00,2.191595399375742215e+00,2.127045471737338753e-02
8.846292182376176427e+00,2.204407357913785059e+00,2.154680112456079655e-02
1.074986658336873369e+01,2.215365766596632202e+00,2.206683265215176465e-02
1.306305841790402233e+01,2.221725031101693837e+00,2.271386663866466205e-02
1.587401051968200072e+01,2.230475630607802628e+00,2.306846501746920991e-02
1.928983258879170748e+01,2.237480886004877600e+00,2.334183379813943235e-02
2.344068254473251400e+01,2.237961346184230482e+00,2.337395344056383481e-02
2.848472611847307334e+01,2.233635743499081450e+00,2.285613269983803597e-02
3.461416366592753491e+01,2.223579631752777619e+00,2.190203831669077644e-02
4.206255385108273970e+01,2.209374361275592946e+00,2.059840580935691501e-02
5.111371326347565969e+01,2.189677523806190962e+00,1.886709928698285937e-02
6.211253108478470608e+01,2.170066919043978970e+00,1.673913488983650930e-02
7.547811089113595528e+01,2.149680115069181774e+00,1.459798073890627643e-02
9.171974035188149799e+01,2.129539190280905991e+00,1.242327443414663682e-02
1.114562973409620952e+02,2.111864008078676580e+00,1.062140914007309728e-02
1.354398319194774558e+02,2.094746043832776294e+00,9.069419918324158475e-03
1.645842227672370655e+02,2.080875090167504826e+00,7.777097349022659041e-03
2.000000000000000284e+02,2.070027298295310292e+00,6.719210785134329712e-03
