# time,average_effective_velocity,95CLI
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.079840827186790142e-01,2.230971574408143268e-02,3.366634837757473062e-03
1.166056212059451008e-01,4.307022246635387741e-02,6.486046131714678746e-03
1.259155104576572815e-01,6.240394665542191993e-02,9.376543935866945775e-03
1.359687089682435623e-01,8.042076004543538548e-02,1.205484080621246033e-02
1.468245631637880300e-01,9.722108741932787568e-02,1.453643446847551791e-02
1.585471577381239727e-01,1.129025793123880350e-01,1.683578199814556725e-02
1.712056939600502536e-01,1.275601927187360596e-01,1.896623611872489887e-02
1.848748981849091255e-01,1.412838261582075594e-01,2.093995043528095595e-02
1.996354629820658311e-01,1.541589743976187199e-01,2.276823284129222622e-02
2.155745234823718270e-01,1.662664610592705927e-01,2.446156844364567179e-02
2.327861717576024392e-01,1.776827568667961044e-01,2.602963044349787189e-02
2.513720122683756331e-01,1.884807659784810407e-01,2.748131079433736162e-02
2.714417616594906879e-01,1.987304276795988645e-01,2.882475500301645219e-02
2.931138964434239491e-01,2.084991619356586501e-01,3.006740225521027307e-02
3.165163523954100389e-01,2.178523662137807071e-01,3.121601751766231447e-02
3.417872797888051317e-01,2.268538383575984529e-01,3.227672045590273403e-02
3.690758589290661917e-01,2.355660576748108415e-01,3.325500550817617890e-02
3.985431808006378307e-01,2.440508473647056142e-01,3.415577460075402277e-02
4.303631980254152278e-01,2.523696148118775295e-01,3.498334910604619652e-02
4.647237517465167000e-01,2.605835507267966755e-01,3.574148049590089582e-02
5.018276804993071494e-01,2.687538903778260435e-01,3.643334511647391277e-02
5.418940176155999655e-01,2.769419835003503749e-01,3.706154180756790484e-02
5.851592842296025054e-01,2.852093069490546640e-01,3.762807300713284786e-02
6.318788855185237807e-01,2.936172026942935331e-01,3.813430219387611841e-02
6.823286184201897697e-01,3.022263527455490428e-01,3.858086969955398793e-02
7.368062997280774296e-01,3.110951637900777333e-01,3.896748661192677571e-02
7.956335241748050402e-01,3.202799369756956782e-01,3.929287888868390755e-02
8.591575628824624777e-01,3.298310849716560300e-01,3.955423466974663377e-02
9.277534133867848531e-01,3.397941185671150000e-01,3.974717214282852407e-02
1.001826013336953869e+00,3.502066219886754150e-01,3.986472111665628759e-02
1.081812630939020581e+00,3.610947150405570683e-01,3.989738997482158295e-02
1.168185446254309534e+00,3.724719094136645925e-01,3.983366807445612445e-02
1.261454338590822788e+00,3.843350227410869957e-01,3.966221285186165291e-02
1.362169896442279482e+00,3.966968725599820944e-01,3.937096690608831578e-02
1.470926667743174932e+00,4.095973166591463377e-01,3.895240407677746236e-02
1.588366669626899208e+00,4.230122201961160067e-01,3.840049249074175414e-02
1.715183178405837339e+00,4.368049251811013667e-01,3.771141613170421458e-02
1.852124822146627547e+00,4.507498602991923398e-01,3.688657597251454590e-02
2.000000000000000000e+00,4.645319911988798345e-01,3.592441602720402444e-02
