# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,5.284541276978104163e-01,3.289161760619793706e-02
2.094395102393195318e-01,8.438294998801109115e-01,6.797926205666883839e-03
4.188790204786390636e-01,8.620987891211293608e-01,2.692311395302982371e-03
6.283185307179586232e-01,8.491791412887372825e-01,2.323250840433526386e-03
8.377580409572781273e-01,8.327267171436567583e-01,1.164572417409856248e-03
1.047197551196597631e+00,8.037527885906700087e-01,8.627906505963828633e-04
1.256637061435917246e+00,7.633561478552416402e-01,7.497072807947230411e-04
1.466076571675236861e+00,7.188989745468833403e-01,6.569338713105350681e-04
1.675516081914556255e+00,6.719354034415386812e-01,6.102215680729875056e-04
1.884955592153875870e+00,6.357682819213967829e-01,6.495261306288268623e-04
2.094395102393195263e+00,6.146117862186639691e-01,1.369764732344693229e-03
2.303834612632514656e+00,6.291181956016391741e-01,1.570123622665885958e-03
2.513274122871834493e+00,6.307148742408852371e-01,1.778727667197132741e-03
2.722713633111154330e+00,6.174597620739564752e-01,1.890337178295272607e-03
2.932153143350473723e+00,5.951397707240897450e-01,2.119722907623675101e-03
3.141592653589793116e+00,5.756842598694427160e-01,2.765147133918621769e-03
