# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,5.056563357167340733e-01,2.991122112776484210e-02
2.094395102393195318e-01,5.463887558293363256e-01,2.826772099454859244e-02
4.188790204786390636e-01,6.206947995195500889e-01,2.481877618458912249e-02
6.283185307179586232e-01,6.639715275111108816e-01,2.141596653109742801e-02
8.377580409572781273e-01,6.867498662452237168e-01,1.785150135000259514e-02
1.047197551196597631e+00,6.606560760046801262e-01,1.695728115218661861e-02
1.256637061435917246e+00,6.563688537096269426e-01,1.481862206195995978e-02
1.466076571675236861e+00,6.416774741208414179e-01,1.119583916097187902e-02
1.675516081914556255e+00,6.046427309087835100e-01,1.087478859139849423e-02
1.884955592153875870e+00,5.789441996315237704e-01,9.276436306830702222e-03
2.094395102393195263e+00,5.514560149853676707e-01,1.046330390145074583e-02
2.303834612632514656e+00,5.564344298348254947e-01,1.035402161538674301e-02
2.513274122871834493e+00,5.425614217698144781e-01,1.072758116781082766e-02
2.722713633111154330e+00,5.407453670142643443e-01,1.094185723110616647e-02
2.932153143350473723e+00,5.318551889681026879e-01,1.067436058389907225e-02
3.141592653589793116e+00,5.302848239222863747e-01,1.080640826457008111e-02
