# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,1.990683465881105896e+00,4.629427352747334141e-03
2.094395102393195318e-01,2.054308154103940520e+00,5.927499649139680513e-03
4.188790204786390636e-01,2.070027298295310292e+00,6.719210785134329712e-03
6.283185307179586232e-01,2.059313517483481792e+00,7.390413280025005978e-03
8.377580409572781273e-01,2.026261976442405466e+00,8.305881653348229018e-03
1.047197551196597631e+00,1.972533398044694630e+00,9.244718688144184723e-03
1.256637061435917246e+00,1.927669677822576588e+00,1.011443929236167764e-02
1.466076571675236861e+00,1.874256720977658386e+00,9.944574042557486476e-03
1.675516081914556255e+00,1.804096634555350409e+00,1.036859289299420749e-02
1.884955592153875870e+00,1.737595135012203862e+00,1.071821971865588412e-02
2.094395102393195263e+00,1.661236478721297427e+00,1.233494606833480597e-02
2.303834612632514656e+00,1.574812864409819158e+00,1.266559758480613300e-02
2.513274122871834493e+00,1.501328605627046731e+00,1.316788747257137231e-02
2.722713633111154330e+00,1.423257881549756521e+00,1.485083562745623947e-02
2.932153143350473723e+00,1.346933434437549648e+00,1.442226182922488713e-02
3.141592653589793116e+00,1.264112645212016384e+00,1.583736459055293949e-02
