# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,2.995367762439041237e-01,1.830615522389805391e-02
2.094395102393195318e-01,5.930667316597992844e-01,1.109400504767725330e-02
4.188790204786390636e-01,6.897842761073427198e-01,7.858114825307771154e-03
6.283185307179586232e-01,7.507199354225653209e-01,7.036948847750267889e-03
8.377580409572781273e-01,7.772995004900276061e-01,6.519797683836230616e-03
1.047197551196597631e+00,7.994794370648981019e-01,6.708133657847695393e-03
1.256637061435917246e+00,8.072999498135713381e-01,7.023823935985607815e-03
1.466076571675236861e+00,7.996585855310877067e-01,6.445577528823254361e-03
1.675516081914556255e+00,8.022558429582570261e-01,6.652443692681284798e-03
1.884955592153875870e+00,7.981017871682885012e-01,5.919571590513106503e-03
2.094395102393195263e+00,7.868409951327393070e-01,5.883424802396060131e-03
2.303834612632514656e+00,7.756149730596639813e-01,5.706870009049418505e-03
2.513274122871834493e+00,7.688310228141038705e-01,6.439149893400030952e-03
2.722713633111154330e+00,7.559627440139163879e-01,7.382834007673780459e-03
2.932153143350473723e+00,7.442038884952474342e-01,7.976835355089369195e-03
3.141592653589793116e+00,7.400225377698614881e-01,8.936027601910650695e-03
