# time,average_effective_velocity,95CLI
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.215183306378338629e-01,4.421073944490903906e-02,7.144299027577242361e-03
1.476670468100590716e-01,8.076054426054968260e-02,1.301529561565119807e-02
1.794425301857724697e-01,1.110267722059693624e-01,1.783611385768113164e-02
2.180555671360417669e-01,1.361533372625831628e-01,2.178904038723721709e-02
2.649774850465789755e-01,1.571040802749688325e-01,2.502111180508162849e-02
3.219962163947186484e-01,1.746907707555484524e-01,2.765078158148717713e-02
3.912844268798491010e-01,1.896022912862670995e-01,2.977191771514036203e-02
4.754823035902082662e-01,2.024344652832702207e-01,3.145728568486796245e-02
5.777981578011381902e-01,2.137157573050933457e-01,3.276139578421229104e-02
7.021306758161000028e-01,2.239311828869064436e-01,3.372322965563322866e-02
8.532174761478656944e-01,2.335454323082109818e-01,3.436890082725042872e-02
1.036815633725144625e+00,2.430135916973322763e-01,3.471303289374165491e-02
1.259921049894873413e+00,2.527394928245282335e-01,3.475401343948023025e-02
1.531035027186919528e+00,2.630057297790014958e-01,3.445698253938846850e-02
1.860488206518050802e+00,2.740407270471018619e-01,3.376649448470089160e-02
2.260834210274509815e+00,2.863221114801949851e-01,3.265914280865323677e-02
2.747327990814637744e+00,2.995860750181813525e-01,3.112275455468603222e-02
3.338507111583890463e+00,3.121243830795938923e-01,2.929149913523796181e-02
4.056898110222107334e+00,3.212853417201144701e-01,2.735797774209451985e-02
4.929874859219732564e+00,3.253975982365668318e-01,2.559673122773854434e-02
5.990701631458082765e+00,3.258947722113785250e-01,2.438520883634841263e-02
7.279800616041338657e+00,3.292184784848977142e-01,2.372222022505789812e-02
8.846292182376176427e+00,3.408809160865543531e-01,2.337715036574196034e-02
1.074986658336873369e+01,3.518845293488904735e-01,2.281970496797247616e-02
1.306305841790402233e+01,3.628322375086043827e-01,2.229559601697469681e-02
1.587401051968200072e+01,3.793399337627805235e-01,2.167237283378648655e-02
1.928983258879170748e+01,3.998044109801818791e-01,2.091689035248384468e-02
2.344068254473251400e+01,4.205857696495169940e-01,1.977008785095633533e-02
2.848472611847307334e+01,4.442759009349625532e-01,1.852795140117664482e-02
3.461416366592753491e+01,4.691592794195817984e-01,1.693278670450908130e-02
4.206255385108273970e+01,4.912617161342964778e-01,1.533669410348043396e-02
5.111371326347565969e+01,5.144700932135555238e-01,1.346006580691038075e-02
6.211253108478470608e+01,5.351653412734341808e-01,1.159024860898239667e-02
7.547811089113595528e+01,5.534268664032208074e-01,9.691769451101497554e-03
9.171974035188149799e+01,5.686356330591415542e-01,8.050789535861012716e-03
1.114562973409620952e+02,5.813844603384364929e-01,6.714335822702741097e-03
1.354398319194774558e+02,5.914551069635384239e-01,5.621619736207635228e-03
1.645842227672370655e+02,5.997274212441516816e-01,4.804306090739032115e-03
2.000000000000000284e+02,6.068998110088910103e-01,4.039390608882848129e-03
