# time,average_effective_velocity,95CLI
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.193776641714436315e-01,5.282976896895012764e-02,6.684425506345402154e-03
1.425102670302998142e-01,9.772687748509645278e-02,1.228967498820281862e-02
1.701254279852589257e-01,1.361128778604175638e-01,1.699078018756867980e-02
2.030917620904735821e-01,1.692080467409443623e-01,2.093384420086393319e-02
2.424462017082328336e-01,1.980712971085350771e-01,2.424029306495255331e-02
2.894266124716751154e-01,2.236352605286727191e-01,2.701031390935333676e-02
3.455107294592220102e-01,2.467375428414877447e-01,2.932544434760317800e-02
4.124626382901352417e-01,2.681488018341417479e-01,3.125031604765764193e-02
4.923882631706739121e-01,2.885970874704201217e-01,3.283352597866656675e-02
5.878016072274913073e-01,3.087870764078743391e-01,3.410765764717792192e-02
7.017038286703829453e-01,3.294112581102098258e-01,3.508859179967391967e-02
8.376776400682920398e-01,3.511456771891038331e-01,3.577450680946388933e-02
1.000000000000000000e+00,3.746132176527358082e-01,3.614511807512076763e-02
1.193776641714436870e+00,4.002981221438782766e-01,3.616187153594681292e-02
1.425102670302998531e+00,4.283722851737112314e-01,3.576905638025177497e-02
1.701254279852589146e+00,4.583567452536932985e-01,3.489913236653743173e-02
2.030917620904735710e+00,4.887809810747334449e-01,3.349296348129125050e-02
2.424462017082328114e+00,5.168299291069173851e-01,3.150909336278595596e-02
2.894266124716751598e+00,5.386023008206499707e-01,2.892108194538551766e-02
3.455107294592219880e+00,5.519236008002231797e-01,2.581493161677896400e-02
4.124626382901352528e+00,5.587220807075424789e-01,2.255371597685828372e-02
4.923882631706741897e+00,5.660371000813654296e-01,1.977376391798829972e-02
5.878016072274914627e+00,5.872839188084016948e-01,1.783949269397225659e-02
7.017038286703829897e+00,6.157877080631305455e-01,1.587636736036783860e-02
8.376776400682919288e+00,6.254980514969142869e-01,1.329628643378895879e-02
1.000000000000000000e+01,6.316070157559412479e-01,1.164650191234384118e-02
1.193776641714437048e+01,6.533960482614283860e-01,1.027425588571794987e-02
1.425102670302999286e+01,6.585940699027234002e-01,8.385652024967469448e-03
1.701254279852589235e+01,6.733053657163283745e-01,7.081505588866346401e-03
2.030917620904736864e+01,6.832893253433689473e-01,6.146727235358981703e-03
2.424462017082328202e+01,6.897688708378760802e-01,5.156879303995528033e-03
2.894266124716751776e+01,6.961417414626465128e-01,4.312977966286602773e-03
3.455107294592221479e+01,6.997364419657449153e-01,3.476123286782677700e-03
4.124626382901352173e+01,7.044407763907630793e-01,3.018988463319626815e-03
4.923882631706741364e+01,7.070776668588070191e-01,2.480492725188844245e-03
5.878016072274911608e+01,7.112297731894795527e-01,2.126034272114173812e-03
7.017038286703829897e+01,7.125215007262467592e-01,1.707463170614256873e-03
8.376776400682923907e+01,7.149884545487068532e-01,1.454649792754081046e-03
1.000000000000000000e+02,7.167937438598679378e-01,1.192802361132840614e-03
