# tau,average_effective_velocity,95CLI
0.000000000000000000e+00,1.156398415402363655e+00,1.445486919900696929e-02
2.094395102393195318e-01,1.301478804200206785e+00,2.065305593781157408e-03
4.188790204786390636e-01,1.284834794187709628e+00,1.108328538205325363e-03
6.283185307179586232e-01,1.241096354049806783e+00,6.986335529678155704e-04
8.377580409572781273e-01,1.171907054130369996e+00,6.226462848451555206e-04
1.047197551196597631e+00,1.095461202073319429e+00,6.903002129854540628e-04
1.256637061435917246e+00,1.015979699056352548e+00,6.503590379125990433e-04
1.466076571675236861e+00,9.723260038867962418e-01,5.753931431808589859e-04
1.675516081914556255e+00,9.404906260408284480e-01,1.368516444562748336e-03
1.884955592153875870e+00,9.578341197082544944e-01,1.959244843545814973e-03
2.094395102393195263e+00,9.596789406539477651e-01,1.779377792331182607e-03
2.303834612632514656e+00,9.564124691642771348e-01,1.507902313564810168e-03
2.513274122871834493e+00,9.242359518735846491e-01,2.054232278158408653e-03
2.722713633111154330e+00,8.935647561070622080e-01,2.962538882612295553e-03
2.932153143350473723e+00,8.672924940698074625e-01,3.435403438929084553e-03
3.141592653589793116e+00,8.503383353757026919e-01,4.786313888482115510e-03
