# time,average_effective_velocity,95CLI
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.215183306378338629e-01,3.559957520285432775e-01,6.944001848299348294e-03
1.476670468100590716e-01,6.494949602745427875e-01,1.264008037628726322e-02
1.794425301857724697e-01,8.917019470199833986e-01,1.730413024169477620e-02
2.180555671360417669e-01,1.091868119405464022e+00,2.111165646607824145e-02
2.649774850465789755e-01,1.257648593525930281e+00,2.420248315640635348e-02
3.219962163947186484e-01,1.395390469257500765e+00,2.668553857279880315e-02
3.912844268798491010e-01,1.510369574749660826e+00,2.864350113546606028e-02
4.754823035902082662e-01,1.606971944659896234e+00,3.013835198471457102e-02
5.777981578011381902e-01,1.688829269984564618e+00,3.122017777561025137e-02
7.021306758161000028e-01,1.758867877939132685e+00,3.193467343744593734e-02
8.532174761478656944e-01,1.819257267354122742e+00,3.230795461934495016e-02
1.036815633725144625e+00,1.871076257842783086e+00,3.226664490969465005e-02
1.259921049894873413e+00,1.914590541300191573e+00,3.161760505828449530e-02
1.531035027186919528e+00,1.952149252016276870e+00,3.045017310740663966e-02
1.860488206518050802e+00,1.984232756308656809e+00,2.902649514637405115e-02
2.260834210274509815e+00,2.009100735848972530e+00,2.757862793402751644e-02
2.747327990814637744e+00,2.028750164991368177e+00,2.597398757814862666e-02
3.338507111583890463e+00,2.045281708968617718e+00,2.425343968030640660e-02
4.056898110222107334e+00,2.058163266656568791e+00,2.268094576472084664e-02
4.929874859219732564e+00,2.070988246331701088e+00,2.129674234441816458e-02
5.990701631458082765e+00,2.081590416185609360e+00,2.027733936034756268e-02
7.279800616041338657e+00,2.088770102246693128e+00,1.960588306270391601e-02
8.846292182376176427e+00,2.100297530121951528e+00,1.909908959585741514e-02
1.074986658336873369e+01,2.104653418898643213e+00,1.879313157416341931e-02
1.306305841790402233e+01,2.111995615565713802e+00,1.860362508863465728e-02
1.587401051968200072e+01,2.115491328198741083e+00,1.858417119260833555e-02
1.928983258879170748e+01,2.119019190137990005e+00,1.832149368901707723e-02
2.344068254473251400e+01,2.117240561050890868e+00,1.791690095552361112e-02
2.848472611847307334e+01,2.113877361810053035e+00,1.699623463226145048e-02
3.461416366592753491e+01,2.108125135650230408e+00,1.596658233051175338e-02
4.206255385108273970e+01,2.100507719681409924e+00,1.455474225149820493e-02
5.111371326347565969e+01,2.092456873471771228e+00,1.335266762625258313e-02
6.211253108478470608e+01,2.085737264336807062e+00,1.206724870063799991e-02
7.547811089113595528e+01,2.079429154385485035e+00,1.078862882088759897e-02
9.171974035188149799e+01,2.072107984019652793e+00,9.496579687606473280e-03
1.114562973409620952e+02,2.065807562781702078e+00,8.448026138599346382e-03
1.354398319194774558e+02,2.062544857103681295e+00,7.507342209650534094e-03
1.645842227672370655e+02,2.057343701290315963e+00,6.613704487490924995e-03
2.000000000000000284e+02,2.054308154103940520e+00,5.927499649139680513e-03
