# position_x,position_y,swimming_direction_x,swimming_direction_y
-1.570796326794896558e+00,-1.570796326794896558e+00,-1.484987943017749871e-33,1.000000000000000000e+00
-1.151917306316257550e+00,-1.570796326794896558e+00,-1.038537968304534332e-17,1.000000000000000000e+00
-7.330382858376184307e-01,-1.570796326794896558e+00,-2.211657265628467614e-17,1.000000000000000000e+00
-3.141592653589793116e-01,-1.570796326794896558e+00,-3.623501650333525519e-17,1.000000000000000000e+00
1.047197551196596965e-01,-1.570796326794896558e+00,-5.197887346846289704e-17,1.000000000000000000e+00
5.235987755982987046e-01,-1.570796326794896558e+00,-6.327816373385698468e-17,1.000000000000000000e+00
9.424777960769379348e-01,-1.570796326794896558e+00,-5.702693962758460470e-17,1.000000000000000000e+00
1.361356816555576721e+00,-1.570796326794896558e+00,-2.374098972509372937e-17,1.000000000000000000e+00
1.780235837034215951e+00,-1.570796326794896558e+00,2.374098972509364617e-17,1.000000000000000000e+00
2.199114857512855181e+00,-1.570796326794896558e+00,5.702693962758458005e-17,1.000000000000000000e+00
2.617993877991493967e+00,-1.570796326794896558e+00,6.327816373385699700e-17,1.000000000000000000e+00
3.036872898470132753e+00,-1.570796326794896558e+00,5.197887346846293401e-17,1.000000000000000000e+00
3.455751918948772428e+00,-1.570796326794896558e+00,3.623501650333527368e-17,1.000000000000000000e+00
3.874630939427411214e+00,-1.570796326794896558e+00,2.211657265628469463e-17,1.000000000000000000e+00
4.293509959906050000e+00,-1.570796326794896558e+00,1.038537968304536181e-17,1.000000000000000000e+00
4.712388980384689674e+00,-1.570796326794896558e+00,4.454963829053249612e-33,1.000000000000000000e+00
-1.570796326794896558e+00,-1.121997376282068970e+00,-1.116313678271717915e-17,1.000000000000000000e+00
-1.151917306316257550e+00,-1.121997376282068970e+00,-7.780932998136691481e-02,9.969682583552250676e-01
-7.330382858376184307e-01,-1.121997376282068970e+00,-1.636833717951874378e-01,9.865129263206633414e-01
-3.141592653589793116e-01,-1.121997376282068970e+00,-2.608328929792592676e-01,9.653839660674244927e-01
1.047197551196596965e-01,-1.121997376282068970e+00,-3.561077811138897431e-01,9.344448877435961309e-01
5.235987755982987046e-01,-1.121997376282068970e+00,-4.087887770151608091e-01,9.126290241858678876e-01
9.424777960769379348e-01,-1.121997376282068970e+00,-3.584854896701115123e-01,9.335352985806056880e-01
1.361356816555576721e+00,-1.121997376282068970e+00,-1.518774966187387276e-01,9.883993251822993376e-01
1.780235837034215951e+00,-1.121997376282068970e+00,1.518774966187383668e-01,9.883993251822995596e-01
2.199114857512855181e+00,-1.121997376282068970e+00,3.584854896701114013e-01,9.335352985806056880e-01
2.617993877991493967e+00,-1.121997376282068970e+00,4.087887770151608091e-01,9.126290241858676655e-01
3.036872898470132753e+00,-1.121997376282068970e+00,3.561077811138899651e-01,9.344448877435960199e-01
3.455751918948772428e+00,-1.121997376282068970e+00,2.608328929792593232e-01,9.653839660674244927e-01
3.874630939427411214e+00,-1.121997376282068970e+00,1.636833717951875211e-01,9.865129263206633414e-01
4.293509959906050000e+00,-1.121997376282068970e+00,7.780932998136705359e-02,9.969682583552249566e-01
4.712388980384689674e+00,-1.121997376282068970e+00,3.348941034815153746e-17,1.000000000000000000e+00
-1.570796326794896558e+00,-6.731984257692413820e-01,-2.397371953183093455e-17,1.000000000000000000e+00
-1.151917306316257550e+00,-6.731984257692413820e-01,-1.650081735163873575e-01,9.862921994382729540e-01
-7.330382858376184307e-01,-6.731984257692413820e-01,-3.326174578547897442e-01,9.430618361116185344e-01
-3.141592653589793116e-01,-6.731984257692413820e-01,-4.885667864762135437e-01,8.725265011174765384e-01
1.047197551196596965e-01,-6.731984257692413820e-01,-5.962587258849318950e-01,8.027923341724667594e-01
5.235987755982987046e-01,-6.731984257692413820e-01,-6.161687008701777213e-01,7.876142025560213256e-01
9.424777960769379348e-01,-6.731984257692413820e-01,-5.075535738622802828e-01,8.616202003549050525e-01
1.361356816555576721e+00,-6.731984257692413820e-01,-2.111269777464972741e-01,9.774586432517898826e-01
1.780235837034215951e+00,-6.731984257692413820e-01,2.111269777464967745e-01,9.774586432517899937e-01
2.199114857512855181e+00,-6.731984257692413820e-01,5.075535738622801718e-01,8.616202003549050525e-01
2.617993877991493967e+00,-6.731984257692413820e-01,6.161687008701778323e-01,7.876142025560212145e-01
3.036872898470132753e+00,-6.731984257692413820e-01,5.962587258849320060e-01,8.027923341724667594e-01
3.455751918948772428e+00,-6.731984257692413820e-01,4.885667864762136547e-01,8.725265011174766494e-01
3.874630939427411214e+00,-6.731984257692413820e-01,3.326174578547899108e-01,9.430618361116185344e-01
4.293509959906050000e+00,-6.731984257692413820e-01,1.650081735163876351e-01,9.862921994382728430e-01
4.712388980384689674e+00,-6.731984257692413820e-01,7.192115859549279748e-17,1.000000000000000000e+00
-1.570796326794896558e+00,-2.243994752564137940e-01,-3.956865117717424471e-17,1.000000000000000000e+00
-1.151917306316257550e+00,-2.243994752564137940e-01,-2.644624965690677287e-01,9.643959704957585366e-01
-7.330382858376184307e-01,-2.243994752564137940e-01,-4.903511121118052651e-01,8.715249777549212151e-01
-3.141592653589793116e-01,-2.243994752564137940e-01,-6.411278069142842817e-01,7.674341243398551393e-01
1.047197551196596965e-01,-2.243994752564137940e-01,-6.982819749251447661e-01,7.158228017426097045e-01
5.235987755982987046e-01,-2.243994752564137940e-01,-6.553621374955354018e-01,7.553148143239896140e-01
9.424777960769379348e-01,-2.243994752564137940e-01,-4.917206763931352698e-01,8.707529939124398766e-01
1.361356816555576721e+00,-2.243994752564137940e-01,-1.882973403674045310e-01,9.821120667268893323e-01
1.780235837034215951e+00,-2.243994752564137940e-01,1.882973403674040036e-01,9.821120667268894433e-01
2.199114857512855181e+00,-2.243994752564137940e-01,4.917206763931351587e-01,8.707529939124399876e-01
2.617993877991493967e+00,-2.243994752564137940e-01,6.553621374955352907e-01,7.553148143239897250e-01
3.036872898470132753e+00,-2.243994752564137940e-01,6.982819749251447661e-01,7.158228017426097045e-01
3.455751918948772428e+00,-2.243994752564137940e-01,6.411278069142842817e-01,7.674341243398551393e-01
3.874630939427411214e+00,-2.243994752564137940e-01,4.903511121118053762e-01,8.715249777549211041e-01
4.293509959906050000e+00,-2.243994752564137940e-01,2.644624965690681173e-01,9.643959704957584256e-01
4.712388980384689674e+00,-2.243994752564137940e-01,1.187059535315227033e-16,1.000000000000000000e+00
-1.570796326794896558e+00,2.243994752564137940e-01,-5.612448855998613030e-17,1.000000000000000000e+00
-1.151917306316257550e+00,2.243994752564137940e-01,-3.564292587370443965e-01,9.343223124362176613e-01
-7.330382858376184307e-01,2.243994752564137940e-01,-5.906058344628801748e-01,8.069601900331916378e-01
-3.141592653589793116e-01,2.243994752564137940e-01,-6.901082936846119065e-01,7.237061164503955091e-01
1.047197551196596965e-01,2.243994752564137940e-01,-6.817500955812927366e-01,7.315851332380247651e-01
5.235987755982987046e-01,2.243994752564137940e-01,-5.768458733670615013e-01,8.168530090410343059e-01
9.424777960769379348e-01,2.243994752564137940e-01,-3.847343673750208137e-01,9.230273379269665623e-01
1.361356816555576721e+00,2.243994752564137940e-01,-1.345723503405750754e-01,9.909037705669575535e-01
1.780235837034215951e+00,2.243994752564137940e-01,1.345723503405747146e-01,9.909037705669575535e-01
2.199114857512855181e+00,2.243994752564137940e-01,3.847343673750207027e-01,9.230273379269665623e-01
2.617993877991493967e+00,2.243994752564137940e-01,5.768458733670612792e-01,8.168530090410345279e-01
3.036872898470132753e+00,2.243994752564137940e-01,6.817500955812925145e-01,7.315851332380246541e-01
3.455751918948772428e+00,2.243994752564137940e-01,6.901082936846119065e-01,7.237061164503955091e-01
3.874630939427411214e+00,2.243994752564137940e-01,5.906058344628803969e-01,8.069601900331916378e-01
4.293509959906050000e+00,2.243994752564137940e-01,3.564292587370449517e-01,9.343223124362175502e-01
4.712388980384689674e+00,2.243994752564137940e-01,1.683734656799583662e-16,1.000000000000000000e+00
-1.570796326794896558e+00,6.731984257692413820e-01,-6.383704735855706179e-17,1.000000000000000000e+00
-1.151917306316257550e+00,6.731984257692413820e-01,-3.853097532453535479e-01,9.227872962140325486e-01
-7.330382858376184307e-01,6.731984257692413820e-01,-5.814642104207833340e-01,8.135719832932640783e-01
-3.141592653589793116e-01,6.731984257692413820e-01,-6.193449436175515466e-01,7.851189978693495775e-01
1.047197551196596965e-01,6.731984257692413820e-01,-5.511293308365371457e-01,8.344198347904193680e-01
5.235987755982987046e-01,6.731984257692413820e-01,-4.139452532469706791e-01,9.103017781561789645e-01
9.424777960769379348e-01,6.731984257692413820e-01,-2.488032962397241643e-01,9.685540355500296128e-01
1.361356816555576721e+00,6.731984257692413820e-01,-8.213894470341347176e-02,9.966208876814742768e-01
1.780235837034215951e+00,6.731984257692413820e-01,8.213894470341326359e-02,9.966208876814742768e-01
2.199114857512855181e+00,6.731984257692413820e-01,2.488032962397241366e-01,9.685540355500296128e-01
2.617993877991493967e+00,6.731984257692413820e-01,4.139452532469704016e-01,9.103017781561790756e-01
3.036872898470132753e+00,6.731984257692413820e-01,5.511293308365370347e-01,8.344198347904194790e-01
3.455751918948772428e+00,6.731984257692413820e-01,6.193449436175515466e-01,7.851189978693496885e-01
3.874630939427411214e+00,6.731984257692413820e-01,5.814642104207834450e-01,8.135719832932637452e-01
4.293509959906050000e+00,6.731984257692413820e-01,3.853097532453541030e-01,9.227872962140323265e-01
4.712388980384689674e+00,6.731984257692413820e-01,1.915111420756711237e-16,1.000000000000000000e+00
-1.570796326794896558e+00,1.121997376282068970e+00,-4.596386661458745551e-17,1.000000000000000000e+00
-1.151917306316257550e+00,1.121997376282068970e+00,-2.758080477967596034e-01,9.612127343988637884e-01
-7.330382858376184307e-01,1.121997376282068970e+00,-4.005499537927296183e-01,9.162749229989011202e-01
-3.141592653589793116e-01,1.121997376282068970e+00,-3.913079427250688580e-01,9.202597969922809984e-01
1.047197551196596965e-01,1.121997376282068970e+00,-3.105801928132995160e-01,9.505471812761604467e-01
5.235987755982987046e-01,1.121997376282068970e+00,-2.111025447697398860e-01,9.774639203529406073e-01
9.424777960769379348e-01,1.121997376282068970e+00,-1.193294540314102370e-01,9.928547131381134649e-01
1.361356816555576721e+00,1.121997376282068970e+00,-3.836475344602330306e-02,9.992638018526568411e-01
1.780235837034215951e+00,1.121997376282068970e+00,3.836475344602319898e-02,9.992638018526568411e-01
