# time,u_0,95CLI,u_1,95CLI,u_2,95CLI,vs,surftimeconst,omegamax
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,4.000000000000000000e+00,1.250000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,3.000000000000000000e+00,1.250000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,2.000000000000000000e+00,1.250000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,4.000000000000000000e+00,2.500000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,3.000000000000000000e+00,2.500000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.867000000000000881e+00,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
