# vs,omegamax,max_surftimeconst,max_average_velocity_axis
1.000000000000000000e+00,1.250000000000000000e-01,2.775510204081632626e+00,8.256232788131799560e-02
1.000000000000000000e+00,2.500000000000000000e-01,2.448979591836734304e+00,1.571144637839417268e-01
1.000000000000000000e+00,5.000000000000000000e-01,2.367346938775510168e+00,2.722080461413766694e-01
1.000000000000000000e+00,1.000000000000000000e+00,2.122448979591836427e+00,3.409360484334180152e-01
