# duxdy*kolmogorov_time,p_y
-1.937500000000000000e+00,-5.468600000000000544e-02
-1.812500000000000000e+00,1.547342857142857409e-01
-1.687500000000000000e+00,-2.065029411764704101e-02
-1.562500000000000000e+00,2.410739714285714541e-01
-1.437500000000000000e+00,1.875986374999999706e-01
-1.312500000000000000e+00,2.236848987341772954e-01
-1.187500000000000000e+00,1.724425497237568605e-01
-1.062500000000000000e+00,8.913867943805865723e-02
-9.375000000000000000e-01,1.238907210626186972e-01
-8.125000000000000000e-01,7.581882546864901484e-02
-6.875000000000000000e-01,4.540323022312379303e-02
-5.625000000000000000e-01,5.167478420747009804e-03
-4.375000000000000000e-01,-5.588347395558673075e-03
-3.125000000000000000e-01,-2.040484497186013588e-02
-1.875000000000000000e-01,-2.581516322346602901e-02
-6.250000000000000000e-02,-1.192605119907417383e-02
6.250000000000000000e-02,1.653268400100561461e-02
1.875000000000000000e-01,2.593216444677256399e-02
3.125000000000000000e-01,1.847872887561771357e-02
4.375000000000000000e-01,-1.045666387742409144e-02
5.625000000000000000e-01,-3.610774565004919168e-02
6.875000000000000000e-01,-5.454051564549364239e-02
8.125000000000000000e-01,-5.914585378681633948e-02
9.375000000000000000e-01,-8.821491340602950759e-02
1.062500000000000000e+00,-1.197722255434783833e-01
1.187500000000000000e+00,-1.323836435331230410e-01
1.312500000000000000e+00,-2.250714210526314762e-01
1.437500000000000000e+00,-1.707835099999999440e-01
1.562500000000000000e+00,-1.337500000000000078e-01
1.687500000000000000e+00,-2.314369047619047604e-01
1.812500000000000000e+00,3.072300000000001766e-02
1.937500000000000000e+00,-2.604573333333333740e-01
