# omega_z*kolmogorov_time,p_y
-1.937500000000000000e+00,1.858953999999999884e-01
-1.812500000000000000e+00,4.595366666666667044e-01
-1.687500000000000000e+00,3.539172499999999610e-01
-1.562500000000000000e+00,4.248660000000000769e-01
-1.437500000000000000e+00,2.065100666666666307e-01
-1.312500000000000000e+00,2.709787187500000138e-01
-1.187500000000000000e+00,3.155044358974358198e-01
-1.062500000000000000e+00,3.138459058823528935e-01
-9.375000000000000000e-01,3.048852800000000363e-01
-8.125000000000000000e-01,2.816879642857142985e-01
-6.875000000000000000e-01,2.447971040892193695e-01
-5.625000000000000000e-01,1.944873561643835347e-01
-4.375000000000000000e-01,1.622235558086560780e-01
-3.125000000000000000e-01,1.041120523138832771e-01
-1.875000000000000000e-01,6.988214555765596969e-02
-6.250000000000000000e-02,-8.808355481727394654e-04
6.250000000000000000e-02,-3.608447746243737680e-02
1.875000000000000000e-01,-8.161996538461539774e-02
3.125000000000000000e-01,-1.031941097308487071e-01
4.375000000000000000e-01,-1.634477744565216439e-01
5.625000000000000000e-01,-2.334541217105261524e-01
6.875000000000000000e-01,-2.289990564102564741e-01
8.125000000000000000e-01,-2.773386092715231510e-01
9.375000000000000000e-01,-2.402200333333332771e-01
1.062500000000000000e+00,-3.621229387755103279e-01
1.187500000000000000e+00,-3.896077399999999247e-01
1.312500000000000000e+00,-3.014842413793102915e-01
1.437500000000000000e+00,-3.481663809523808384e-01
1.562500000000000000e+00,-6.832652307692307359e-01
1.687500000000000000e+00,-2.981121111111111333e-01
1.812500000000000000e+00,-4.115336666666666865e-01
1.937500000000000000e+00,-9.039160000000000528e-01
