# omega_z*kolmogorov_time,p_y
-1.937500000000000000e+00,-7.257097999999999605e-01
-1.812500000000000000e+00,-3.447995000000000365e-01
-1.687500000000000000e+00,-4.579335454545454542e-01
-1.562500000000000000e+00,-4.730551764705882567e-01
-1.437500000000000000e+00,-4.685948750000000218e-01
-1.312500000000000000e+00,-4.898140000000000827e-01
-1.187500000000000000e+00,-3.916192741935484722e-01
-1.062500000000000000e+00,-3.269567361111110904e-01
-9.375000000000000000e-01,-2.925126382978724404e-01
-8.125000000000000000e-01,-2.785002928176795733e-01
-6.875000000000000000e-01,-2.178363730158731359e-01
-5.625000000000000000e-01,-2.222797003257329373e-01
-4.375000000000000000e-01,-1.422597240566037813e-01
-3.125000000000000000e-01,-1.139719855371900264e-01
-1.875000000000000000e-01,-7.761684103512020427e-02
-6.250000000000000000e-02,-1.917910720887245832e-02
6.250000000000000000e-02,3.371943656716417520e-02
1.875000000000000000e-01,6.658802343750003239e-02
3.125000000000000000e-01,1.144550252631578308e-01
4.375000000000000000e-01,1.449240716253443473e-01
5.625000000000000000e-01,2.032536724137931627e-01
6.875000000000000000e-01,2.388970423076924032e-01
8.125000000000000000e-01,2.773331034482758306e-01
9.375000000000000000e-01,2.826496524822694756e-01
1.062500000000000000e+00,3.550549428571427302e-01
1.187500000000000000e+00,3.930802575757577633e-01
1.312500000000000000e+00,3.725163617021275408e-01
1.437500000000000000e+00,3.610957777777777933e-01
1.562500000000000000e+00,5.582429375000000915e-01
1.687500000000000000e+00,4.635637499999999966e-01
1.812500000000000000e+00,6.553011250000000398e-01
1.937500000000000000e+00,4.518739999999999979e-01
