# duxdy*kolmogorov_time,p_x
-1.937500000000000000e+00,nan
-1.812500000000000000e+00,nan
-1.687500000000000000e+00,-2.170670000000000099e-01
-1.562500000000000000e+00,5.456630000000000091e-01
-1.437500000000000000e+00,nan
-1.312500000000000000e+00,-1.319452499999999862e-01
-1.187500000000000000e+00,5.919750000000001400e-02
-1.062500000000000000e+00,-9.671136363636363698e-02
-9.375000000000000000e-01,1.133678461538461663e-01
-8.125000000000000000e-01,2.166583333333333139e-01
-6.875000000000000000e-01,2.760140898876404236e-01
-5.625000000000000000e-01,2.649934174311925905e-01
-4.375000000000000000e-01,2.916609931818183732e-01
-3.125000000000000000e-01,3.680467417677638631e-01
-1.875000000000000000e-01,3.481348133159266056e-01
-6.250000000000000000e-02,3.678800812013346411e-01
6.250000000000000000e-02,4.029236093394080176e-01
1.875000000000000000e-01,3.737574685138541075e-01
3.125000000000000000e-01,3.302930925324675249e-01
4.375000000000000000e-01,3.250667350157731006e-01
5.625000000000000000e-01,2.126075119617223952e-01
6.875000000000000000e-01,2.808388399999998675e-01
8.125000000000000000e-01,8.154820967741933935e-02
9.375000000000000000e-01,2.103875121951218619e-01
1.062500000000000000e+00,1.781632352941176778e-01
1.187500000000000000e+00,1.059299999999999964e-01
1.312500000000000000e+00,1.974343333333333506e-01
1.437500000000000000e+00,6.794783333333332953e-01
1.562500000000000000e+00,9.476900000000000601e-02
1.687500000000000000e+00,nan
1.812500000000000000e+00,nan
1.937500000000000000e+00,nan
