# duxdy*kolmogorov_time,p_x
-1.937500000000000000e+00,nan
-1.812500000000000000e+00,nan
-1.687500000000000000e+00,nan
-1.562500000000000000e+00,nan
-1.437500000000000000e+00,-1.299299999999999899e-01
-1.312500000000000000e+00,2.306580000000000436e-02
-1.187500000000000000e+00,-3.443633333333332575e-02
-1.062500000000000000e+00,1.407188181818181671e-01
-9.375000000000000000e-01,2.617131739130434953e-01
-8.125000000000000000e-01,2.847557894736842399e-01
-6.875000000000000000e-01,4.148231250000000703e-01
-5.625000000000000000e-01,3.959052749999999454e-01
-4.375000000000000000e-01,4.448215979899500239e-01
-3.125000000000000000e-01,4.874572748344369044e-01
-1.875000000000000000e-01,5.564713032994917929e-01
-6.250000000000000000e-02,5.541516520438677373e-01
6.250000000000000000e-02,5.135170420560754012e-01
1.875000000000000000e-01,5.611143684895835149e-01
3.125000000000000000e-01,4.764699409594091994e-01
4.375000000000000000e-01,3.850524119601330675e-01
5.625000000000000000e-01,4.284893529411761826e-01
6.875000000000000000e-01,3.746364479999998998e-01
8.125000000000000000e-01,2.902663095238095514e-01
9.375000000000000000e-01,1.278021562499999930e-01
1.062500000000000000e+00,1.491287222222222320e-01
1.187500000000000000e+00,3.866354285714285188e-01
1.312500000000000000e+00,7.645433333333333248e-02
1.437500000000000000e+00,nan
1.562500000000000000e+00,nan
1.687500000000000000e+00,-5.345429999999999904e-01
1.812500000000000000e+00,nan
1.937500000000000000e+00,nan
