# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst
9.996000000000000441e+00,2.158962497108218304e-01,5.910043531222347601e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.457607911328593686e-01,5.975390485005421803e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,2.659989868994472872e-01,6.176015847908914065e-03,1.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,2.628007087600665592e-01,5.852712970570480254e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,2.667705292077768298e-01,5.818123423693627623e-03,1.000000000000000000e+00,2.500000000000000000e+00
9.996000000000000441e+00,2.678834607085021635e-01,5.946619028076230787e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.653579034152723781e-01,6.091663774167611727e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.674601363006139376e-01,5.627473952346212331e-03,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,2.645233975426107831e-01,5.706197378037312050e-03,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,2.588708772571528538e-01,5.683064653818727281e-03,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,2.615524804648421964e-01,5.772607906292695316e-03,1.000000000000000000e+00,8.000000000000000000e+00
9.996000000000000441e+00,2.548546538732680555e-01,5.508450753280659876e-03,1.000000000000000000e+00,9.000000000000000000e+00
9.996000000000000441e+00,2.503820198978028988e-01,5.565906272450440485e-03,1.000000000000000000e+00,1.000000000000000000e+01
9.996000000000000441e+00,2.549351700641193652e-01,5.799382826113105502e-03,1.000000000000000000e+00,1.100000000000000000e+01
9.996000000000000441e+00,2.512472196886567088e-01,5.740081611564742600e-03,1.000000000000000000e+00,1.200000000000000000e+01
9.996000000000000441e+00,2.507335112756040041e-01,5.576341671316543437e-03,1.000000000000000000e+00,1.300000000000000000e+01
9.996000000000000441e+00,2.453813721777773627e-01,5.661505714245577449e-03,1.000000000000000000e+00,1.400000000000000000e+01
9.996000000000000441e+00,2.458196320520395495e-01,5.611350853465186736e-03,1.000000000000000000e+00,1.500000000000000000e+01
9.996000000000000441e+00,2.425882692920918182e-01,5.742881626151962772e-03,1.000000000000000000e+00,1.600000000000000000e+01
