# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst
9.996000000000000441e+00,2.101606588924632146e-01,6.071012442412255898e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.996000000000000441e+00,2.840187727434723697e-01,5.902012031547820663e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,3.000240123393106972e-01,5.908739659347336803e-03,1.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,3.164460846838735852e-01,5.765758190171357996e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.996000000000000441e+00,3.208382009053620809e-01,5.974939006654456791e-03,1.000000000000000000e+00,2.500000000000000000e+00
9.996000000000000441e+00,3.086179654478978795e-01,5.876160157585925276e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,2.665441527196816263e-01,6.175234116744332015e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,2.089500292304421747e-01,6.426994053133803023e-03,1.000000000000000000e+00,5.000000000000000000e+00
9.996000000000000441e+00,1.368422983451192954e-01,6.911971698239707633e-03,1.000000000000000000e+00,6.000000000000000000e+00
9.996000000000000441e+00,5.853716594059497902e-02,6.922447787829542031e-03,1.000000000000000000e+00,7.000000000000000000e+00
9.996000000000000441e+00,-7.316287452480992222e-03,6.849321472614213618e-03,1.000000000000000000e+00,8.000000000000000000e+00
