# surftimeconst,average_velocity_axis_0_t_inf__params_1o0
0.000000000000000000e+00,2.178061660621230800e-01
1.632653061224489666e-01,2.236501810769525034e-01
3.265306122448979331e-01,2.290761790644016138e-01
4.897959183673469274e-01,2.340977264397828828e-01
6.530612244897958663e-01,2.387283896184088927e-01
8.163265306122448051e-01,2.429817350155921152e-01
9.795918367346938549e-01,2.468713290466450494e-01
1.142857142857142794e+00,2.504107381268802501e-01
1.306122448979591733e+00,2.536135286716101889e-01
1.469387755102040671e+00,2.564932670961474481e-01
1.632653061224489610e+00,2.590635198158044439e-01
1.795918367346938549e+00,2.613378532458937586e-01
1.959183673469387710e+00,2.633298338017279194e-01
2.122448979591836427e+00,2.650530278986193977e-01
2.285714285714285587e+00,2.665210019518807205e-01
2.448979591836734304e+00,2.677473223768244148e-01
2.612244897959183465e+00,2.687455555887629521e-01
2.775510204081632626e+00,2.695292680030088595e-01
2.938775510204081343e+00,2.701120260348747193e-01
3.102040816326530503e+00,2.705073960996729476e-01
3.265306122448979220e+00,2.707289446127161270e-01
3.428571428571428381e+00,2.707902379893167844e-01
3.591836734693877098e+00,2.707048426447873912e-01
3.755102040816326259e+00,2.704863249944404191e-01
3.918367346938775420e+00,2.701482514535884505e-01
4.081632653061224580e+00,2.697041884375440124e-01
4.244897959183672853e+00,2.691677023616195763e-01
4.408163265306122014e+00,2.685523596411276692e-01
4.571428571428571175e+00,2.678717266913807626e-01
4.734693877551020336e+00,2.671393699276914946e-01
4.897959183673468608e+00,2.663688557653722255e-01
5.061224489795917769e+00,2.655737506197355935e-01
5.224489795918366930e+00,2.647676209060940700e-01
5.387755102040816091e+00,2.639640330397600709e-01
5.551020408163265252e+00,2.631765534360462344e-01
5.714285714285713524e+00,2.624187485102650319e-01
5.877551020408162685e+00,2.617041846777291014e-01
6.040816326530611846e+00,2.610464283537506924e-01
6.204081632653061007e+00,2.604590459536425540e-01
6.367346938775509280e+00,2.599556038927171020e-01
6.530612244897958441e+00,2.595496685862868080e-01
6.693877551020407601e+00,2.592548064496643101e-01
6.857142857142856762e+00,2.590845838981619131e-01
7.020408163265305923e+00,2.590525673470924217e-01
7.183673469387754196e+00,2.591723232117681408e-01
7.346938775510203357e+00,2.594574179075017639e-01
7.510204081632652517e+00,2.599214178496054295e-01
7.673469387755101678e+00,2.605778894533921086e-01
7.836734693877550839e+00,2.614403991341739952e-01
8.000000000000000000e+00,2.625225133072638384e-01
