# delay,average_velocity_axis_0_t_inf__params_4o0,average_velocity_axis_0_t_inf__params_8o0
0.000000000000000000e+00,8.041179165125766914e-01,1.734080038593690087e+00
1.428571428571428492e-01,8.136909633386283369e-01,1.727307166439994601e+00
2.857142857142856984e-01,8.233157946607072564e-01,1.720947154320694450e+00
4.285714285714285476e-01,8.329255940724109575e-01,1.714991141268581654e+00
5.714285714285713969e-01,8.424535451673367259e-01,1.709430266316448010e+00
7.142857142857141906e-01,8.518328315390816252e-01,1.704255668497085319e+00
8.571428571428570953e-01,8.609966367812432742e-01,1.699458486843286043e+00
1.000000000000000000e+00,8.698781444874187363e-01,1.695029860387841536e+00
1.142857142857142794e+00,8.784105382512054083e-01,1.690960928163543819e+00
1.285714285714285587e+00,8.865270016662004648e-01,1.687242829203185135e+00
1.428571428571428381e+00,8.941607183260015246e-01,1.683866702539556837e+00
1.571428571428571397e+00,9.012448718242056511e-01,1.680823687205451167e+00
1.714285714285714191e+00,9.077126457544101301e-01,1.678104922233660146e+00
1.857142857142856984e+00,9.134972237102123582e-01,1.675701546656975571e+00
2.000000000000000000e+00,9.185317892852093991e-01,1.673604699508189242e+00
2.142857142857142794e+00,9.227495260729987603e-01,1.671805519820093178e+00
2.285714285714285587e+00,9.260836176671779496e-01,1.670295146625479621e+00
2.428571428571428381e+00,9.284672476613438086e-01,1.669064718957139704e+00
2.571428571428571175e+00,9.298335996490939559e-01,1.668105375847865890e+00
2.714285714285713969e+00,9.301158572240256772e-01,1.667408256330450200e+00
2.857142857142856762e+00,9.292472039797360361e-01,1.666964499437684211e+00
3.000000000000000000e+00,9.271608235098227624e-01,1.666765244202360163e+00
3.142857142857142794e+00,9.237898994078824755e-01,1.666801629657269634e+00
3.285714285714285587e+00,9.190676152675132382e-01,1.667064794835204866e+00
3.428571428571428381e+00,9.129271546823118921e-01,1.667545878768957435e+00
3.571428571428571175e+00,9.053017012458758339e-01,1.668236020491319360e+00
3.714285714285713969e+00,8.961244385518024602e-01,1.669126359035082885e+00
3.857142857142856762e+00,8.853285501936889457e-01,1.670208033433039585e+00
4.000000000000000000e+00,8.728472197651324649e-01,1.671472182717981259e+00
4.142857142857142350e+00,8.586136308597307476e-01,1.672909945922699926e+00
4.285714285714285587e+00,8.425609670710805243e-01,1.674512462079988273e+00
4.428571428571427937e+00,8.246224119927796359e-01,1.676270870222636766e+00
4.571428571428571175e+00,8.047311492184251458e-01,1.678176309383438536e+00
4.714285714285714413e+00,7.828203623416142287e-01,1.680219918595184714e+00
4.857142857142856762e+00,7.588232349559442813e-01,1.682392836890667986e+00
5.000000000000000000e+00,7.326729506550129223e-01,1.684686203302679486e+00
5.142857142857142350e+00,7.043026930324169932e-01,1.687091156864011454e+00
5.285714285714285587e+00,6.736456456817538907e-01,1.689598836607456134e+00
5.428571428571427937e+00,6.406349921966211225e-01,1.692200381565805101e+00
5.571428571428571175e+00,6.052039161706155301e-01,1.694886930771849931e+00
5.714285714285713524e+00,5.672856011973355095e-01,1.697649623258383311e+00
5.857142857142856762e+00,5.268132308703767919e-01,1.700479598058196595e+00
6.000000000000000000e+00,4.837199887833376621e-01,1.703367994204081803e+00
6.142857142857142350e+00,4.379390585298156280e-01,1.706305950728831178e+00
6.285714285714285587e+00,3.894036237034069758e-01,1.709284606665235628e+00
6.428571428571427937e+00,3.380468678977102126e-01,1.712295101046088730e+00
6.571428571428571175e+00,2.838019747063214027e-01,1.715328572904180948e+00
6.714285714285713524e+00,2.266021277228393860e-01,1.718376161272304969e+00
6.857142857142856762e+00,1.663805105408597829e-01,1.721429005183252370e+00
7.000000000000000000e+00,1.030703067539811002e-01,1.724478243669815170e+00
