# time,position_x,position_y
0.000000000000000000e+00,0.000000000000000000e+00,5.500000000000000444e-01
1.250000000000000000e-01,1.237499999999999989e-01,5.500000000000000444e-01
2.500000000000000000e-01,2.474999999999999978e-01,5.500000000000000444e-01
3.750000000000000000e-01,3.712500000000000799e-01,5.500000000000000444e-01
5.000000000000000000e-01,4.950000000000001066e-01,5.500000000000000444e-01
6.250000000000000000e-01,6.187499999999999112e-01,5.500000000000000444e-01
7.500000000000000000e-01,7.424999999999999378e-01,5.500000000000000444e-01
8.750000000000000000e-01,8.662499999999999645e-01,5.500000000000000444e-01
1.000000000000000000e+00,9.899999999999998801e-01,5.500000000000000444e-01
1.125000000000000000e+00,1.113749999999999796e+00,5.500000000000000444e-01
1.250000000000000000e+00,1.237499999999999822e+00,5.500000000000000444e-01
1.375000000000000000e+00,1.361249999999999849e+00,5.500000000000000444e-01
1.500000000000000000e+00,1.484999999999999876e+00,5.500000000000000444e-01
1.625000000000000000e+00,1.608749999999999902e+00,5.500000000000000444e-01
1.750000000000000000e+00,1.732499999999999929e+00,5.500000000000000444e-01
1.875000000000000000e+00,1.856249999999999734e+00,5.500000000000000444e-01
2.000000000000000000e+00,1.980000000000000204e+00,5.500000000000000444e-01
2.125000000000000000e+00,2.103749999999999787e+00,5.500000000000000444e-01
2.250000000000000000e+00,2.227500000000000036e+00,5.500000000000000444e-01
2.375000000000000000e+00,2.351250000000000284e+00,5.500000000000000444e-01
2.500000000000000000e+00,2.475000000000000089e+00,5.500000000000000444e-01
2.625000000000000000e+00,2.598749999999999893e+00,5.500000000000000444e-01
2.750000000000000000e+00,2.722500000000000142e+00,5.500000000000000444e-01
2.875000000000000000e+00,2.846249999999999947e+00,5.500000000000000444e-01
3.000000000000000000e+00,2.969999999999999751e+00,5.500000000000000444e-01
3.125000000000000000e+00,3.093750000000000000e+00,5.500000000000000444e-01
3.250000000000000000e+00,3.217499999999999805e+00,5.500000000000000444e-01
3.375000000000000000e+00,3.341250000000000053e+00,5.500000000000000444e-01
3.500000000000000000e+00,3.464999999999999858e+00,5.500000000000000444e-01
3.625000000000000000e+00,3.588750000000000107e+00,5.500000000000000444e-01
3.750000000000000000e+00,3.712499999999999467e+00,5.500000000000000444e-01
3.875000000000000000e+00,3.836249999999999716e+00,5.500000000000000444e-01
4.000000000000000000e+00,3.959999999999999520e+00,5.500000000000000444e-01
4.125000000000000000e+00,4.083749999999999325e+00,5.500000000000000444e-01
4.250000000000000000e+00,4.207499999999999574e+00,5.500000000000000444e-01
4.375000000000000000e+00,4.331249999999999822e+00,5.500000000000000444e-01
4.500000000000000000e+00,4.454999999999999183e+00,5.500000000000000444e-01
4.625000000000000000e+00,4.578749999999999432e+00,5.500000000000000444e-01
4.750000000000000000e+00,4.702499999999999680e+00,5.500000000000000444e-01
4.875000000000000000e+00,4.826249999999999929e+00,5.500000000000000444e-01
5.000000000000000000e+00,4.949999999999997513e+00,5.500000000000000444e-01
