# time,std_x,std_y,std_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e-01,1.000988579230528142e-01,1.267369309375944719e-01,1.284619341302074003e-01
6.899999999999999467e-01,1.700408947028636542e-01,2.081380996586542353e-01,2.152404108530944771e-01
1.034999999999999920e+00,2.383499038455903773e-01,2.845146149765571120e-01,2.719041738267089503e-01
1.379999999999999893e+00,2.930083620325374949e-01,3.583935419760834740e-01,3.166613773716745461e-01
1.725000000000000089e+00,3.389389018520301278e-01,4.278416324806343374e-01,3.565992602382740961e-01
2.069999999999999840e+00,3.831720644418365462e-01,4.974962828179049779e-01,3.879363939583602705e-01
2.415000000000000036e+00,4.304243901446798692e-01,5.565736397882674602e-01,4.246001962223103221e-01
2.757000000000000117e+00,4.626685578548302424e-01,5.942505503388386678e-01,4.525920779366517932e-01
3.101999999999999869e+00,4.919317934293238603e-01,6.330145576291851262e-01,4.797450932659459988e-01
3.447000000000000064e+00,5.276312805649902016e-01,6.647960160922173900e-01,5.096724343678661340e-01
3.791999999999999815e+00,5.567110074023859934e-01,6.856459814565539768e-01,5.337102020592267015e-01
4.136999999999999567e+00,5.880267832949520601e-01,7.034681039619694598e-01,5.575885855237413535e-01
4.482000000000000206e+00,6.106518878264879380e-01,7.193308588933444714e-01,5.869931594434598665e-01
4.826999999999999957e+00,6.381249046084809251e-01,7.410604922351972101e-01,6.226570344722371919e-01
5.171999999999999709e+00,6.596850528072175646e-01,7.639308416713699312e-01,6.548708072393603086e-01
5.517000000000000348e+00,6.810868106480770789e-01,7.899817267353891337e-01,6.869890500656068433e-01
5.862000000000000099e+00,7.015721195338751048e-01,8.206801234360535657e-01,7.080678168859964039e-01
6.206999999999999851e+00,7.247229121343146119e-01,8.508517535244539687e-01,7.196500482404503130e-01
6.551999999999999602e+00,7.524242857430435416e-01,8.744307070046517527e-01,7.343796107712337040e-01
6.897000000000000242e+00,7.860997715443981404e-01,8.957224413863292822e-01,7.554286670462760922e-01
7.241999999999999993e+00,8.204983477467517883e-01,9.145828363684473938e-01,7.776651395111370269e-01
7.583999999999999631e+00,8.458141164563756087e-01,9.372010632777925121e-01,7.984068338112991770e-01
7.929000000000000270e+00,8.693531094887662070e-01,9.563711233298586301e-01,8.159186059185901119e-01
8.273999999999999133e+00,8.960893975831442093e-01,9.725783394227736078e-01,8.387982057688777582e-01
8.618999999999999773e+00,9.261119058553636263e-01,9.863600186756749100e-01,8.605604642699465900e-01
8.964000000000000412e+00,9.574796557906163352e-01,9.966666509015292830e-01,8.823291192003432926e-01
9.308999999999999275e+00,9.804555223532913644e-01,1.010610469378090848e+00,9.021373141692219377e-01
9.653999999999999915e+00,1.000849499674248966e+00,1.026805396804515436e+00,9.170870625673234189e-01
9.999000000000000554e+00,1.021014078797941149e+00,1.044417112902604750e+00,9.314934903832678970e-01
