# duxdy*kolmogorov_time,n_x
-1.937500000000000000e+00,3.746363300177889873e-03
-1.812500000000000000e+00,9.695309745875685045e-03
-1.687500000000000000e+00,6.380128625207841762e-03
-1.562500000000000000e+00,4.188915534491612948e-03
-1.437500000000000000e+00,2.993804078389514581e-03
-1.312500000000000000e+00,3.473092887115487946e-03
-1.187500000000000000e+00,3.794687294776420434e-03
-1.062500000000000000e+00,2.717818951347707093e-03
-9.375000000000000000e-01,2.845472226185905441e-03
-8.125000000000000000e-01,2.646459463995911015e-03
-6.875000000000000000e-01,2.104947969874535092e-03
-5.625000000000000000e-01,1.821946133382941480e-03
-4.375000000000000000e-01,1.601559666432160987e-03
-3.125000000000000000e-01,1.450243688314276601e-03
-1.875000000000000000e-01,1.360588910319386743e-03
-6.250000000000000000e-02,1.340903895347635285e-03
6.250000000000000000e-02,1.412360629959988779e-03
1.875000000000000000e-01,1.472100287129375672e-03
3.125000000000000000e-01,1.679260481125773898e-03
4.375000000000000000e-01,1.833387755886252803e-03
5.625000000000000000e-01,2.073079147871101022e-03
6.875000000000000000e-01,2.248200555018442775e-03
8.125000000000000000e-01,2.899667801809774261e-03
9.375000000000000000e-01,3.022411937012554808e-03
1.062500000000000000e+00,3.219654432097541086e-03
1.187500000000000000e+00,3.989429544808549034e-03
1.312500000000000000e+00,3.901613493678199405e-03
1.437500000000000000e+00,4.495712275682228580e-03
1.562500000000000000e+00,3.153998541807604295e-03
1.687500000000000000e+00,2.621611684987532661e-03
1.812500000000000000e+00,2.208619656763432908e-03
1.937500000000000000e+00,2.806975454010155607e-03
