# distance,velocity
3.125000000000000000e-02,6.055474211236191451e-01
9.375000000000000000e-02,5.888200702401733544e-01
1.562500000000000000e-01,5.682538115925853672e-01
2.187500000000000000e-01,5.383433355338616000e-01
2.812500000000000000e-01,5.194503023389273055e-01
3.437500000000000000e-01,4.978802687865836463e-01
4.062500000000000000e-01,4.883138056667642446e-01
4.687500000000000000e-01,4.733755545348741212e-01
5.312500000000000000e-01,4.694814019883484235e-01
5.937500000000000000e-01,4.596077395233277851e-01
6.562500000000000000e-01,4.540234851881876366e-01
7.187500000000000000e-01,4.557255768365355286e-01
7.812500000000000000e-01,4.511513803959955604e-01
8.437500000000000000e-01,4.497426147743573410e-01
9.062500000000000000e-01,4.462083879080126492e-01
9.687500000000000000e-01,4.494511665798680000e-01
