# scalar_diff,pdf
1.399999999999999937e-06,5.205888656226183230e+03
4.199999999999999598e-06,5.778443098160490081e+03
6.999999999999999048e-06,5.286883325933008564e+03
9.799999999999999345e-06,4.975666196081117050e+03
1.259999999999999964e-05,3.706989840681802889e+03
1.539999999999999824e-05,3.981706196044893659e+03
1.819999999999999854e-05,4.340538997880292300e+03
2.099999999999999884e-05,4.164758952315799434e+03
2.379999999999999913e-05,3.987606697184058248e+03
2.659999999999999943e-05,3.043114852047129261e+03
2.939999999999999634e-05,3.352410888504874947e+03
3.219999999999999664e-05,3.654091161864385867e+03
3.499999999999999693e-05,3.528842733613807013e+03
3.779999999999999723e-05,3.420266651605294555e+03
4.059999999999999753e-05,2.960576446577150364e+03
4.339999999999999782e-05,2.534882733577580893e+03
4.619999999999999812e-05,3.190970432918121787e+03
4.899999999999999842e-05,3.091382323575084229e+03
5.179999999999999871e-05,3.011965694870595144e+03
5.459999999999999901e-05,2.264454533112143508e+03
5.739999999999999931e-05,2.646409066155677465e+03
6.019999999999999961e-05,2.862669293953998931e+03
6.299999999999998635e-05,2.805997038826641983e+03
6.580000000000000020e-05,2.751897676637881887e+03
6.859999999999998694e-05,2.323116492112003925e+03
7.140000000000000079e-05,2.105964328094978100e+03
7.419999999999998754e-05,2.612652710801371995e+03
7.700000000000000139e-05,2.553613394170518404e+03
7.979999999999998813e-05,2.514230979590495735e+03
8.260000000000000198e-05,2.130938542218895236e+03
8.539999999999998872e-05,1.949017858840966255e+03
8.820000000000000257e-05,2.394780136761540689e+03
9.099999999999998932e-05,2.342533257488565596e+03
9.380000000000000317e-05,2.315123371382783262e+03
9.659999999999998991e-05,1.536085694816804789e+03
9.940000000000000376e-05,2.218691344044416837e+03
1.021999999999999905e-04,2.222739362267798697e+03
1.050000000000000044e-04,2.196255717619908864e+03
1.077999999999999911e-04,2.173271207368501564e+03
1.106000000000000049e-04,1.669841822384322086e+03
1.133999999999999917e-04,1.881539453371536410e+03
1.162000000000000055e-04,2.076976400986859971e+03
1.189999999999999923e-04,2.059789476157076479e+03
1.217999999999999926e-04,2.018280136747828237e+03
1.245999999999999929e-04,1.556908974999788597e+03
1.274000000000000067e-04,1.758829612820375587e+03
1.301999999999999935e-04,1.957422642440351865e+03
1.329999999999999802e-04,1.946273439706479166e+03
1.357999999999999941e-04,1.905141457928196360e+03
1.386000000000000079e-04,1.637046013727098170e+03
1.413999999999999947e-04,1.469979498914615988e+03
1.441999999999999814e-04,1.838932346308489286e+03
1.469999999999999953e-04,1.801402414644233431e+03
1.498000000000000091e-04,1.776839863390508299e+03
1.525999999999999958e-04,1.319791161779302456e+03
1.553999999999999826e-04,1.569155945387493830e+03
1.581999999999999964e-04,1.703152209629263780e+03
1.610000000000000103e-04,1.668641139012988106e+03
1.637999999999999970e-04,1.669395854274958538e+03
1.665999999999999838e-04,1.416634851987856791e+03
1.693999999999999976e-04,1.321026150389825943e+03
1.722000000000000115e-04,1.603049521698524131e+03
1.749999999999999982e-04,1.597835125342965512e+03
1.777999999999999850e-04,1.571591617369359255e+03
1.805999999999999988e-04,1.271523690251359994e+03
1.833999999999999856e-04,1.342364009160535034e+03
1.861999999999999723e-04,1.549464738097482041e+03
1.889999999999999862e-04,1.533135444247213854e+03
1.918000000000000000e-04,1.522946788210410659e+03
1.945999999999999867e-04,1.021095444228554243e+03
1.973999999999999735e-04,1.461574715315235153e+03
2.001999999999999873e-04,1.463049840600012658e+03
2.030000000000000012e-04,1.445176810986619103e+03
2.057999999999999879e-04,1.430494168617049581e+03
2.085999999999999747e-04,1.105211890700878712e+03
2.113999999999999885e-04,1.238350523963122896e+03
2.142000000000000024e-04,1.396977949937026324e+03
2.169999999999999891e-04,1.349568109388588255e+03
2.197999999999999759e-04,1.344765375903232552e+03
2.225999999999999897e-04,1.042570523955988392e+03
2.254000000000000036e-04,1.165143143550443483e+03
2.281999999999999903e-04,1.316840911209718797e+03
2.309999999999999771e-04,1.303427562689880460e+03
2.337999999999999909e-04,1.306823781368807204e+03
2.366000000000000048e-04,1.117904829197924300e+03
2.393999999999999915e-04,1.021507107098728738e+03
2.421999999999999782e-04,1.268676355399319846e+03
2.449999999999999921e-04,1.264388200501669417e+03
2.477999999999999517e-04,1.244456856537377234e+03
2.506000000000000198e-04,9.393117540205624891e+02
2.533999999999999794e-04,1.132656082045831454e+03
2.561999999999999933e-04,1.234611252892395441e+03
2.590000000000000071e-04,1.218453485238024086e+03
2.617999999999999668e-04,1.215811981821071413e+03
2.646000000000000348e-04,1.042296082042538728e+03
2.673999999999999945e-04,9.701521640444841523e+02
2.701999999999999541e-04,1.197081321228133675e+03
