# l_diff,pdf
1.265599999999726861e-04,3.768767343039742741e+02
3.236799999999730214e-04,3.293223527364846746e+02
5.207999999999734109e-04,3.289072156089580403e+02
7.179199999999736920e-04,3.284920784814313492e+02
9.150399999999741900e-04,3.280769413539047150e+02
1.112159999999974471e-03,3.276618042263783082e+02
1.309279999999974752e-03,3.272466670988512760e+02
1.506399999999975250e-03,3.268315299713249829e+02
1.703519999999975531e-03,3.264163928437983486e+02
1.900639999999976029e-03,3.260012557162713733e+02
2.097759999999976310e-03,3.255861185887450802e+02
2.294879999999976591e-03,3.251709814612184459e+02
2.491999999999976873e-03,3.247558443336918117e+02
2.689119999999977154e-03,3.243407072061644953e+02
2.886239999999977868e-03,5.214630652911074549e+01
3.083359999999978149e-03,5.896641648133400082e+00
3.280479999999978431e-03,5.761086667716540433e+00
3.477599999999978712e-03,5.718725736336272014e+00
3.674719999999979426e-03,5.667892618679936767e+00
3.871839999999979708e-03,5.659420432403895695e+00
4.068959999999979989e-03,5.667892618679949202e+00
4.266079999999980270e-03,5.659420432403895695e+00
4.463199999999980551e-03,5.642476059851788683e+00
4.660319999999980832e-03,5.634003873575735177e+00
4.857439999999981113e-03,5.608587314747572883e+00
5.054559999999981394e-03,6.404972824696624656e+00
5.251679999999982543e-03,5.608587314747548902e+00
5.448799999999982824e-03,5.574698569643358859e+00
5.645919999999983105e-03,5.574698569643358859e+00
5.843039999999983386e-03,5.574698569643358859e+00
6.040159999999983667e-03,5.566226383367304464e+00
6.237279999999983948e-03,5.540809824539143946e+00
6.434399999999984229e-03,5.549282010815197452e+00
6.631519999999984510e-03,5.540809824539143946e+00
6.828639999999984792e-03,5.515393265710982540e+00
7.025759999999985073e-03,5.498448893158874640e+00
7.222879999999985354e-03,5.489976706882821134e+00
7.419999999999985635e-03,5.481504520606743647e+00
7.617119999999986783e-03,5.456087961778606221e+00
7.814239999999986197e-03,5.456087961778606221e+00
8.011359999999988213e-03,5.456087961778606221e+00
8.208479999999986759e-03,5.447615775502552715e+00
8.405599999999988775e-03,5.422199216674391309e+00
8.602719999999987321e-03,5.430671402950445703e+00
8.799839999999989337e-03,5.422199216674391309e+00
8.996959999999987884e-03,5.413727030398336915e+00
9.194079999999989899e-03,5.396782657846229903e+00
9.391199999999988446e-03,5.396782657846229903e+00
9.588319999999990462e-03,5.396782657846229903e+00
9.785439999999989008e-03,5.506921079434928146e+00
9.982559999999991024e-03,5.998307883446045707e+00
1.017967999999998957e-02,5.362893912742014990e+00
1.037679999999999159e-02,5.362893912742014990e+00
1.057391999999999187e-02,5.337477353913806510e+00
1.077103999999999215e-02,5.337477353913854472e+00
1.096815999999999416e-02,5.337477353913854472e+00
1.116527999999999271e-02,5.320532981361746572e+00
1.136239999999999473e-02,5.303588608809638671e+00
1.155951999999999327e-02,5.312060795085692178e+00
1.175663999999999529e-02,5.303588608809638671e+00
1.195375999999999383e-02,5.278172049981478153e+00
1.215087999999999585e-02,5.278172049981478153e+00
1.234799999999999440e-02,5.278172049981478153e+00
1.254511999999999641e-02,5.252755491153316747e+00
1.274223999999999496e-02,5.252755491153316747e+00
1.293935999999999698e-02,5.235811118601209735e+00
1.313647999999999552e-02,5.210394559773047440e+00
1.333359999999999754e-02,5.193450187220940428e+00
1.353071999999999608e-02,5.184978000944886922e+00
1.372783999999999810e-02,5.193450187220940428e+00
1.392495999999999665e-02,5.159561442116725516e+00
1.412207999999999866e-02,5.159561442116725516e+00
1.431919999999999721e-02,5.159561442116725516e+00
1.451631999999999922e-02,5.134144883288564998e+00
1.471343999999999951e-02,5.608587314747524033e+00
1.491055999999999979e-02,5.379838285294122890e+00
1.510768000000000180e-02,4.998589902871704460e+00
1.530480000000000035e-02,4.786785245970361480e+00
1.550192000000000236e-02,4.583452775345072006e+00
1.569904000000000091e-02,4.371648118443728137e+00
1.589615999999999946e-02,4.168315647818475078e+00
1.609328000000000147e-02,3.956510990917059711e+00
1.629040000000000349e-02,3.753178520291838627e+00
1.648752000000000204e-02,3.541373863390430810e+00
1.668464000000000058e-02,3.338041392765201287e+00
1.688176000000000260e-02,3.126236735863801020e+00
1.707888000000000461e-02,2.922904265238513322e+00
1.727600000000000663e-02,2.711099608337219635e+00
1.747312000000000518e-02,2.473878392607669507e+00
1.767024000000000372e-02,2.270545921982421333e+00
1.786736000000000574e-02,2.058741265081039717e+00
1.806448000000000775e-02,1.855408794455784660e+00
1.826160000000000630e-02,1.643604137554410372e+00
1.845872000000000485e-02,1.440271666929147765e+00
1.865584000000000686e-02,1.228467010027781026e+00
1.885296000000000888e-02,1.025134539402511091e+00
1.905008000000000742e-02,8.133298825011515687e-01
1.924720000000000597e-02,6.099974118758744179e-01
1.944432000000000799e-02,3.981927549745221118e-01
1.964144000000001000e-02,1.694437255210762272e-01
