# surftimeconst,average_velocity_axis_0_t_inf__params_4o0_5o0,average_velocity_axis_0_t_inf__params_8o0_6o0,average_velocity_axis_0_t_inf__params_4o0_6o0,average_velocity_axis_0_t_inf__params_8o0_7o0,average_velocity_axis_0_t_inf__params_4o0_7o0,average_velocity_axis_0_t_inf__params_8o0_3o0,average_velocity_axis_0_t_inf__params_8o0_5o0,average_velocity_axis_0_t_inf__params_4o0_3o0
1.224489795918367374e+00,3.498955212662127057e-01,6.144316651335137713e-01,3.224487861695889412e-01,6.187826029670094874e-01,3.244523972898647468e-01,6.496477246710498088e-01,6.172979736679174989e-01,3.575709285943283744e-01
1.346938775510204023e+00,3.542243719227201604e-01,6.172458161283342903e-01,3.268922880684376198e-01,6.241349918022810472e-01,3.264474228417487689e-01,6.561978589675016016e-01,6.220913491878020674e-01,3.635764878291240509e-01
1.469387755102040671e+00,3.579563207824407178e-01,6.193215447710163080e-01,3.309945330382478845e-01,6.289242298043621338e-01,3.283226740963923196e-01,6.619930289273316948e-01,6.264026118832036749e-01,3.690030335875298939e-01
1.591836734693877542e+00,3.611193334956793177e-01,6.206992132336193180e-01,3.347621628375214153e-01,6.331586232857662200e-01,3.300777682119500067e-01,6.670598422770809277e-01,6.302423957250120612e-01,3.738693886002100175e-01
1.714285714285714191e+00,3.637413757127408998e-01,6.214191836882027031e-01,3.382018192247601140e-01,6.368464785590067789e-01,3.317123223465762716e-01,6.714249067432904727e-01,6.336213346841167438e-01,3.781943755978287025e-01
1.836734693877551061e+00,3.658504130839305701e-01,6.215218183068260682e-01,3.413201439584658270e-01,6.399961019365971726e-01,3.332259536584257220e-01,6.751148300525012802e-01,6.365500627314076842e-01,3.819968173110500631e-01
1.959183673469387710e+00,3.674744112595533241e-01,6.210474792615490180e-01,3.441237787971401785e-01,6.426157997310506520e-01,3.346182793056529658e-01,6.781562199312545225e-01,6.390392138377745113e-01,3.852955364705381580e-01
2.081632653061224580e+00,3.686413358899139903e-01,6.200365287244307133e-01,3.466193654992852369e-01,6.447138782548808011e-01,3.358889164464123334e-01,6.805756841060913720e-01,6.410994219741068534e-01,3.881093558069572680e-01
2.204081632653061007e+00,3.693791526253178414e-01,6.185293288675310919e-01,3.488135458234026265e-01,6.462986438206009820e-01,3.370374822388584879e-01,6.823998303035524460e-01,6.427413211112942282e-01,3.904570980509717293e-01
2.326530612244897878e+00,3.697158271160696508e-01,6.165662418629092034e-01,3.507129615279942492e-01,6.473784027407247788e-01,3.380635938411459818e-01,6.836552662501789168e-01,6.439755452202268193e-01,3.923575859332452676e-01
2.448979591836734748e+00,3.696793250124744690e-01,6.141876298826250968e-01,3.523242543715618402e-01,6.479614613277653312e-01,3.389668684114292563e-01,6.843685996725119569e-01,6.448127282717940334e-01,3.938296421844424411e-01
2.571428571428571175e+00,3.692976119648374578e-01,6.114338550987378218e-01,3.536540661126073015e-01,6.480561258942361125e-01,3.397469231078628638e-01,6.845664382970925166e-01,6.452635042368853879e-01,3.948920895352271421e-01
2.693877551020408045e+00,3.685986536234633903e-01,6.083452796833068721e-01,3.547090385096323684e-01,6.476707027526505955e-01,3.404033750886014675e-01,6.842753898504615462e-01,6.453385070863908446e-01,3.955637507162635957e-01
2.816326530612244916e+00,3.676104156386573174e-01,6.049622658083918525e-01,3.554958133211388871e-01,6.468134982155220314e-01,3.409358415117995089e-01,6.835220620591604401e-01,6.450483707912001430e-01,3.958634484582161384e-01
2.938775510204081343e+00,3.663608636607243452e-01,6.013251756460523678e-01,3.560210323056285930e-01,6.454928185953641151e-01,3.413439395356114847e-01,6.823330626497297047e-01,6.444037293222028007e-01,3.958100054917488841e-01
3.061224489795918213e+00,3.648779633399693578e-01,5.974743713683481339e-01,3.562913372216034436e-01,6.437169702046900976e-01,3.416272863181919472e-01,6.807349993487109563e-01,6.434152166502885573e-01,3.954222445475259473e-01
3.183673469387755084e+00,3.631896803266974061e-01,5.934502151473379783e-01,3.563133698275651740e-01,6.414942593560133410e-01,3.417854990176954488e-01,6.787544798826444792e-01,6.420934667463470413e-01,3.947189883562113311e-01
3.306122448979591955e+00,3.613239802712135407e-01,5.892930691550819500e-01,3.560937718820155751e-01,6.388329923618472073e-01,3.418181947922765418e-01,6.764181119780720008e-01,6.404491135812682145e-01,3.937190596484693716e-01
3.428571428571428381e+00,3.593088288238227568e-01,5.850432955636394317e-01,3.556391851434564932e-01,6.357414755347052804e-01,3.417249908000897229e-01,6.737525033615342496e-01,6.384927911259414834e-01,3.924412811549642388e-01
3.551020408163265252e+00,3.571721916348300496e-01,5.807412565450696951e-01,3.549562513703897748e-01,6.322280151871010334e-01,3.415055041992896556e-01,6.707842617595723977e-01,6.362351333512566987e-01,3.909044756063599912e-01
3.673469387755102122e+00,3.549420343545401368e-01,5.764273142714326781e-01,3.540516123213170441e-01,6.283009176315474953e-01,3.411593521480306701e-01,6.675399948987270626e-01,6.336867742281034888e-01,3.891274657333209652e-01
3.795918367346938549e+00,3.526463226332583467e-01,5.721418309147873194e-01,3.529319097547403694e-01,6.239684891805583611e-01,3.406861518044673742e-01,6.640463105055400828e-01,6.308583477273717044e-01,3.871290742665112750e-01
3.918367346938775420e+00,3.503130221212896744e-01,5.679251686471936678e-01,3.516037854291612641e-01,6.192390361466471038e-01,3.400855203267543203e-01,6.603298163065516313e-01,6.277604878199506411e-01,3.849281239365949236e-01
4.040816326530611846e+00,3.479700984689391152e-01,5.638176896407109950e-01,3.500738811030821296e-01,6.141208648423268635e-01,3.393570748730461162e-01,6.564171200283032137e-01,6.244038284767304825e-01,3.825434374742362476e-01
