# time,c_mean, c_std
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,1.244711022949079524e-13,7.899841626936492389e-01
4.000000000000000083e-03,9.764824650516479221e-13,6.437461812451309440e-01
8.000000000000000167e-03,1.279457353118005790e-12,4.163192775125768574e-01
1.600000000000000033e-02,1.259138845584676666e-12,1.711752710868262584e-01
3.200000000000000067e-02,1.236188636393508028e-12,2.834373704631941784e-02
6.400000000000000133e-02,1.198715164337684320e-12,7.365275950619803265e-04
1.280000000000000027e-01,1.132646399418933657e-12,4.313199469060013061e-07
