# surftimeconst,average_velocity_axis_0_t_inf__params_8o0,average_velocity_axis_0_t_inf__params_1o0,average_velocity_axis_0_t_inf__params_4o0
0.000000000000000000e+00,2.547867028774530418e+00,3.231789409954719527e-01,1.287902615036613074e+00
1.632653061224489666e-01,2.517710005922063843e+00,3.254405988885067380e-01,1.280030286665800432e+00
3.265306122448979331e-01,2.484517982430723748e+00,3.267870456704271009e-01,1.269852088429799020e+00
4.897959183673469274e-01,2.448458108333160244e+00,3.272593614592183564e-01,1.257484968477402987e+00
6.530612244897958663e-01,2.409697533662022106e+00,3.268986263728658193e-01,1.243045874957404928e+00
8.163265306122448051e-01,2.368403408449959002e+00,3.257459205293548599e-01,1.226651756018598993e+00
9.795918367346938549e-01,2.324742882729620153e+00,3.238423240466706821e-01,1.208419559809778665e+00
1.142857142857142794e+00,2.278883106533654779e+00,3.212289170427987117e-01,1.188466234479737427e+00
1.306122448979591733e+00,2.230991229894712991e+00,3.179467796357241527e-01,1.166908728177269428e+00
1.469387755102040671e+00,2.181234402845443565e+00,3.140369919434322088e-01,1.143863989051167263e+00
1.632653061224489610e+00,2.129779775418496612e+00,3.095406340839084725e-01,1.119448965250224859e+00
1.795918367346938549e+00,2.076794497646521798e+00,3.044987861751380365e-01,1.093780604923236366e+00
1.959183673469387710e+00,2.022445719562167010e+00,2.989525283351062712e-01,1.066975856218994601e+00
2.122448979591836427e+00,1.966900591198083692e+00,2.929429406817984916e-01,1.039151667286293490e+00
2.285714285714285587e+00,1.910326262586920398e+00,2.865111033331999568e-01,1.010424986273926518e+00
2.448979591836734304e+00,1.852889883761326351e+00,2.796980964072960374e-01,9.809127613306872773e-01
2.612244897959183465e+00,1.794758604753950992e+00,2.725450000220719926e-01,9.507319406053693633e-01
2.775510204081632626e+00,1.736099575597443989e+00,2.650928942955131373e-01,9.199994722467661479e-01
2.938775510204081343e+00,1.677079946324455006e+00,2.573828593456047864e-01,8.888323044036714471e-01
3.102040816326530503e+00,1.617866866967633266e+00,2.494559752903322269e-01,8.573473852248785221e-01
3.265306122448979220e+00,1.558627487559628211e+00,2.413533222476808571e-01,8.256616628591817442e-01
3.428571428571428381e+00,1.499528958133089285e+00,2.331159803356357973e-01,7.938920854553737083e-01
3.591836734693877098e+00,1.440738428720666375e+00,2.247850296721825014e-01,7.621556011622484528e-01
3.755102040816326259e+00,1.382423049355008260e+00,2.164015503753062841e-01,7.305691581285993497e-01
3.918367346938775420e+00,1.324749970068764382e+00,2.080066225629923493e-01,6.992497045032202152e-01
4.081632653061224580e+00,1.267886340894584851e+00,1.996413263532260673e-01,6.683141884349044215e-01
4.244897959183672853e+00,1.211999311865118889e+00,1.913467418639928641e-01,6.378795580724458958e-01
4.408163265306122014e+00,1.157256033013015717e+00,1.831639492132777769e-01,6.080627615646375661e-01
4.571428571428571175e+00,1.103823654370924556e+00,1.751340285190661761e-01,5.789807470602732486e-01
4.734693877551020336e+00,1.051869325971495073e+00,1.672980598993435708e-01,5.507504627081467596e-01
4.897959183673468608e+00,1.001560197847377598e+00,1.596971234720951927e-01,5.234888566570519153e-01
5.061224489795917769e+00,9.530634200312204651e-01,1.523722993553061900e-01,4.973128770557814216e-01
5.224489795918366930e+00,9.065461425556735620e-01,1.453646676669620441e-01,4.723394720531295388e-01
5.387755102040816091e+00,8.621755154533858878e-01,1.387153085250478202e-01,4.486855897978891949e-01
5.551020408163265252e+00,8.201186887570073303e-01,1.324653020475491938e-01,4.264681784388547614e-01
5.714285714285713524e+00,7.805428124991877770e-01,1.266557283524512023e-01,4.058041861248194992e-01
5.877551020408162685e+00,7.436150367125755611e-01,1.213276675577392161e-01,3.868105610045767806e-01
6.040816326530611846e+00,7.095025114298212365e-01,1.165221997813986055e-01,3.696042512269200886e-01
6.204081632653061007e+00,6.783723866835735805e-01,1.122804051414145188e-01,3.543022049406432394e-01
6.367346938775509280e+00,6.503918125064824807e-01,1.086433637557724374e-01,3.410213702945399383e-01
6.530612244897958441e+00,6.257279389311971585e-01,1.056521557424576208e-01,3.298786954374037794e-01
6.693877551020407601e+00,6.045479159903668354e-01,1.033478612194553281e-01,3.209911285180278018e-01
6.857142857142856762e+00,5.870188937166413989e-01,1.017715603047509298e-01,3.144756176852059326e-01
7.020408163265305923e+00,5.733080221426696266e-01,1.009643331163296298e-01,3.104491110877320992e-01
7.183673469387754196e+00,5.635824513011016279e-01,1.009672597721765763e-01,3.090285568743986744e-01
7.346938775510203357e+00,5.580093312245866244e-01,1.018214203902775283e-01,3.103309031940006957e-01
7.510204081632652517e+00,5.567558119457745036e-01,1.035678950886175231e-01,3.144730981953303139e-01
7.673469387755101678e+00,5.599890434973140430e-01,1.062477639851817646e-01,3.215720900271827887e-01
7.836734693877550839e+00,5.678761759118549080e-01,1.099021071979559006e-01,3.317448268383504928e-01
8.000000000000000000e+00,5.805843592220467642e-01,1.145720048449250239e-01,3.451082567776269094e-01
