# time,average_velocity_axis_0_t_inf,95CLI,vs,surftimeconst
9.990000000000000213e+00,2.517577871621621721e+00,1.160873156659176023e-02,8.000000000000000000e+00,0.000000000000000000e+00
9.990000000000000213e+00,3.137409719289602217e-01,2.423690427549867084e-03,1.000000000000000000e+00,0.000000000000000000e+00
9.990000000000000213e+00,1.262316316316316245e+00,7.111981359045912651e-03,4.000000000000000000e+00,0.000000000000000000e+00
9.990000000000000213e+00,2.384655292792793091e+00,1.264620483233391997e-02,8.000000000000000000e+00,1.000000000000000000e+00
9.990000000000000213e+00,3.382697454290227723e-01,2.510801286810201895e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.990000000000000213e+00,1.250548152840340377e+00,6.241159062589710788e-03,4.000000000000000000e+00,1.000000000000000000e+00
9.990000000000000213e+00,3.045139636707019370e-01,2.486372992635919356e-03,1.000000000000000000e+00,2.000000000000000000e+00
9.990000000000000213e+00,2.005589014014013571e+00,1.999523872582148823e-02,8.000000000000000000e+00,2.000000000000000000e+00
9.990000000000000213e+00,1.072660202389889683e+00,7.137969038631446217e-03,4.000000000000000000e+00,2.000000000000000000e+00
9.990000000000000213e+00,1.597599599599599518e+00,2.110082589070361170e-02,8.000000000000000000e+00,3.000000000000000000e+00
9.990000000000000213e+00,2.472285402590089776e-01,2.631639067995919512e-03,1.000000000000000000e+00,3.000000000000000000e+00
9.990000000000000213e+00,8.529495495495496016e-01,1.734719198464261536e-02,4.000000000000000000e+00,3.000000000000000000e+00
9.990000000000000213e+00,1.298004448198198268e+00,2.719610661474562013e-02,8.000000000000000000e+00,4.000000000000000000e+00
9.990000000000000213e+00,6.469339276776776559e-01,1.586976010459180755e-02,4.000000000000000000e+00,4.000000000000000000e+00
9.990000000000000213e+00,1.910099890906531428e-01,2.822041937443179466e-03,1.000000000000000000e+00,4.000000000000000000e+00
9.990000000000000213e+00,5.184925456706706015e-01,1.338338175106295810e-02,4.000000000000000000e+00,5.000000000000000000e+00
9.990000000000000213e+00,1.000958871371371295e+00,3.679570568792059349e-02,8.000000000000000000e+00,5.000000000000000000e+00
9.990000000000000213e+00,1.513864374139764768e-01,2.659043417301026023e-03,1.000000000000000000e+00,5.000000000000000000e+00
9.990000000000000213e+00,3.940857060185185001e-01,1.783162149382877537e-02,4.000000000000000000e+00,6.000000000000000000e+00
9.990000000000000213e+00,1.275557414836711589e-01,2.875007404492834796e-03,1.000000000000000000e+00,6.000000000000000000e+00
9.990000000000000213e+00,7.082133008008006936e-01,3.819443127808234278e-02,8.000000000000000000e+00,6.000000000000000000e+00
9.990000000000000213e+00,3.209917026401400975e-01,1.764797397055780162e-02,4.000000000000000000e+00,7.000000000000000000e+00
9.990000000000000213e+00,1.099625400791416352e-01,2.827719183112998962e-03,1.000000000000000000e+00,7.000000000000000000e+00
9.990000000000000213e+00,5.854267329829829780e-01,5.521994424776111021e-02,8.000000000000000000e+00,7.000000000000000000e+00
9.990000000000000213e+00,3.324821712337336921e-01,1.587927706314442439e-02,4.000000000000000000e+00,8.000000000000000000e+00
9.990000000000000213e+00,1.071580382139952492e-01,2.704109199814550002e-03,1.000000000000000000e+00,8.000000000000000000e+00
9.990000000000000213e+00,5.729054929929928708e-01,4.423606974075419696e-02,8.000000000000000000e+00,8.000000000000000000e+00
