# vs,reorientationtime,max_surftimeconst,max_average_velocity_axis
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+03,9.045237257146254706e-02
1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+03,6.445978555734654947e-02
