# time,average_velocity_axis_0_t_inf,95CLI,vs,reorientationtime,proportion
9.996000000000000441e+00,6.085387226179533871e-02,3.000973792096705162e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,4.058695797654999354e-02,3.029567054201699056e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
9.996000000000000441e+00,6.389201808653148518e-02,2.999831966089286806e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.222222222222222321e+00
9.996000000000000441e+00,4.647200955577543424e-02,3.029317144621110347e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.222222222222222321e+00
9.996000000000000441e+00,7.299554948932697462e-02,3.029416944921034700e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,5.173327509714822914e-02,3.024572926191240133e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.500000000000000000e+00
9.996000000000000441e+00,7.687794229019732917e-02,3.000026577657004950e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.857142857142857428e+00
9.996000000000000441e+00,5.980064244936254825e-02,3.021017371655224798e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.857142857142857428e+00
9.996000000000000441e+00,6.255560612917041019e-02,3.002920180347547294e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.333333333333333481e+00
9.996000000000000441e+00,8.045368989881107602e-02,3.063553049655257446e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.333333333333333481e+00
9.996000000000000441e+00,8.428559612321490091e-02,3.120411793675161201e-03,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,6.378008200350453183e-02,3.084349123558297826e-03,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
9.996000000000000441e+00,6.441058830758865372e-02,3.076163937630412362e-03,1.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,8.626374617229704000e-02,3.117194188093988950e-03,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00
9.996000000000000441e+00,6.396146703310229276e-02,3.056704092104154964e-03,1.000000000000000000e+00,3.000000000000000000e+00,5.666666666666666075e+00
9.996000000000000441e+00,9.192957246375112190e-02,3.056947583949737052e-03,1.000000000000000000e+00,2.000000000000000000e+00,5.666666666666666075e+00
9.996000000000000441e+00,9.193476252805810045e-02,3.064903658818341793e-03,1.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+00
9.996000000000000441e+00,6.548019229664522878e-02,3.080462006037303861e-03,1.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00
9.996000000000000441e+00,8.871499424965298419e-02,3.112773326059078277e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.900000000000000000e+01
9.996000000000000441e+00,6.293377795454119239e-02,3.081119367403660231e-03,1.000000000000000000e+00,3.000000000000000000e+00,1.900000000000000000e+01
9.996000000000000441e+00,6.445978518360469256e-02,3.090584360519940243e-03,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+03
9.996000000000000441e+00,9.045237220864908723e-02,3.082696159983866653e-03,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+03
