# distance__t_0.0,pdf__t_0.0,distance__t_2.499,pdf__t_2.499,distance__t_4.998,pdf__t_4.998,distance__t_7.5,pdf__t_7.5,distance__t_9.999,pdf__t_9.999
-2.349999999999999867e-01,0.000000000000000000e+00,4.349210000000000020e-01,0.000000000000000000e+00,6.012520000000000087e-01,0.000000000000000000e+00,1.449310000000000320e-01,0.000000000000000000e+00,-8.842999999999989758e-03,0.000000000000000000e+00
-2.249999999999999778e-01,0.000000000000000000e+00,4.449210000000000109e-01,0.000000000000000000e+00,6.112520000000000175e-01,0.000000000000000000e+00,1.549310000000000409e-01,0.000000000000000000e+00,1.157000000000019124e-03,0.000000000000000000e+00
-2.149999999999999967e-01,0.000000000000000000e+00,4.549210000000000198e-01,0.000000000000000000e+00,6.212520000000000264e-01,0.000000000000000000e+00,1.649310000000000220e-01,0.000000000000000000e+00,1.115700000000000025e-02,0.000000000000000000e+00
-2.050000000000000155e-01,0.000000000000000000e+00,4.649209999999999732e-01,0.000000000000000000e+00,6.312520000000000353e-01,0.000000000000000000e+00,1.749310000000000032e-01,0.000000000000000000e+00,2.115699999999998138e-02,0.000000000000000000e+00
-1.950000000000000067e-01,0.000000000000000000e+00,4.749209999999999821e-01,0.000000000000000000e+00,6.412520000000000442e-01,0.000000000000000000e+00,1.849310000000000120e-01,0.000000000000000000e+00,3.115699999999999026e-02,0.000000000000000000e+00
-1.849999999999999978e-01,0.000000000000000000e+00,4.849209999999999909e-01,0.000000000000000000e+00,6.512520000000000531e-01,0.000000000000000000e+00,1.949310000000000209e-01,0.000000000000000000e+00,4.115699999999999914e-02,0.000000000000000000e+00
-1.749999999999999889e-01,0.000000000000000000e+00,4.949209999999999998e-01,0.000000000000000000e+00,6.612520000000000620e-01,0.000000000000000000e+00,2.049310000000000298e-01,0.000000000000000000e+00,5.115700000000000802e-02,0.000000000000000000e+00
-1.649999999999999800e-01,0.000000000000000000e+00,5.049210000000000642e-01,0.000000000000000000e+00,6.712520000000000708e-01,0.000000000000000000e+00,2.149310000000000387e-01,0.000000000000000000e+00,6.115700000000001690e-02,0.000000000000000000e+00
-1.549999999999999711e-01,0.000000000000000000e+00,5.149210000000000731e-01,0.000000000000000000e+00,6.812520000000000797e-01,0.000000000000000000e+00,2.249310000000000476e-01,0.000000000000000000e+00,7.115700000000002579e-02,0.000000000000000000e+00
-1.449999999999999900e-01,0.000000000000000000e+00,5.249209999999999710e-01,0.000000000000000000e+00,6.912519999999999776e-01,0.000000000000000000e+00,2.349310000000000287e-01,0.000000000000000000e+00,8.115700000000000691e-02,0.000000000000000000e+00
