# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,1.690971680350936146e-01,0.000000000000000000e+00
2.470278535103650856e-03,2.244392470799971839e-01,0.000000000000000000e+00
4.392845456035934966e-03,3.279493006993003390e-01,2.500000000000000000e-01
7.811706625951745156e-03,5.876842304537137629e-01,2.500000000000000000e-01
1.389139705019461560e-02,7.894089170135446532e-01,2.500000000000000000e-01
2.470278535103651030e-02,8.822118902488098602e-01,7.500000000000000000e-01
4.392845456035934792e-02,9.198345482298621034e-01,7.500000000000000000e-01
7.811706625951746197e-02,9.609791589366749598e-01,1.250000000000000000e+00
1.389139705019461490e-01,1.020183946050749357e+00,1.000000000000000000e+00
2.470278535103651030e-01,1.086254833335932313e+00,1.250000000000000000e+00
4.392845456035935348e-01,1.160229698172202673e+00,1.000000000000000000e+00
7.811706625951745364e-01,1.232080527995236041e+00,7.500000000000000000e-01
