# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,5.019476487794528874e-02
2.470278535103651030e-02,1.298423167557760660e-01
4.392845456035934792e-02,2.857136105356753997e-01
7.811706625951746197e-02,5.052133935079436977e-01
1.389139705019461490e-01,6.906799647205271730e-01
2.470278535103651030e-01,8.518785042802871077e-01
4.392845456035935348e-01,1.071108579941520977e+00
7.811706625951745364e-01,1.218760366600258660e+00
