# pos_1,average_velocity_axis
1.389139705019461386e-03,nan
2.470278535103650856e-03,nan
4.392845456035934966e-03,nan
7.811706625951745156e-03,nan
1.389139705019461560e-02,nan
2.470278535103651030e-02,1.403874125874124967e+00
4.392845456035934792e-02,1.492462721893492050e+00
7.811706625951746197e-02,1.528289027149322354e+00
1.389139705019461490e-01,1.653185722837473115e+00
2.470278535103651030e-01,1.682856867097769493e+00
4.392845456035935348e-01,1.791859878314604249e+00
7.811706625951745364e-01,1.855399126104174012e+00
