# pos_1,average_velocity_axis
1.389139705019461386e-03,1.345384615384331017e-01
2.470278535103650856e-03,1.814892307692380635e-01
4.392845456035934966e-03,2.575226244343857829e-01
7.811706625951745156e-03,4.092528560548339689e-01
1.389139705019461560e-02,6.755262007569697857e-01
2.470278535103651030e-02,8.275561753352355110e-01
4.392845456035934792e-02,8.933094707548152602e-01
7.811706625951746197e-02,9.387699387881356383e-01
1.389139705019461490e-01,1.003166115687686322e+00
2.470278535103651030e-01,1.075809314214865253e+00
4.392845456035935348e-01,1.150631220065458704e+00
7.811706625951745364e-01,1.219438600778590231e+00
