# pos_1,average_velocity_axis
1.389139705019461386e-03,5.087193347193423865e-01
2.470278535103650856e-03,4.814850538062960816e-01
4.392845456035934966e-03,5.934463850006410635e-01
7.811706625951745156e-03,7.256914157074295657e-01
1.389139705019461560e-02,8.985358514287287157e-01
2.470278535103651030e-02,1.041377375708760100e+00
4.392845456035934792e-02,1.127290475814129111e+00
7.811706625951746197e-02,1.203119753315310847e+00
1.389139705019461490e-01,1.268153911200160300e+00
2.470278535103651030e-01,1.334045529064991520e+00
4.392845456035935348e-01,1.426417216136192545e+00
7.811706625951745364e-01,1.510424220163503861e+00
