# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,2.711025641025399113e-01,2.500000000000000000e-01
2.470278535103650856e-03,3.317264957264963177e-01,2.500000000000000000e-01
4.392845456035934966e-03,4.192000000000024040e-01,2.500000000000000000e-01
7.811706625951745156e-03,6.547957559681689688e-01,7.500000000000000000e-01
1.389139705019461560e-02,8.251022128556372293e-01,2.500000000000000000e-01
2.470278535103651030e-02,9.736306776556763465e-01,7.500000000000000000e-01
4.392845456035934792e-02,1.033484133823345363e+00,5.000000000000000000e-01
7.811706625951746197e-02,1.064079542237480247e+00,5.000000000000000000e-01
1.389139705019461490e-01,1.132188116890481711e+00,7.500000000000000000e-01
2.470278535103651030e-01,1.193117514378852828e+00,7.500000000000000000e-01
4.392845456035935348e-01,1.264404384707269902e+00,1.000000000000000000e+00
7.811706625951745364e-01,1.329432524003095306e+00,7.500000000000000000e-01
