# us,max_surftimeconst,max_average_velocity_axis
1.000000000000000056e-01,1.408163265306122458e+00,1.186153497922035394e+00
2.000000000000000111e-01,1.163265306122448939e+00,1.301423921231950720e+00
8.000000000000000444e-01,6.122448979591836871e-01,1.876008079916485771e+00
5.000000000000000278e-02,1.591836734693877542e+00,1.116105910849228833e+00
4.000000000000000222e-01,9.183673469387755306e-01,1.496254851148334675e+00
