# pos_1,average_velocity_axis
1.389139705019461386e-03,1.758461538460009133e-01
2.470278535103650856e-03,nan
4.392845456035934966e-03,2.916923076923602642e-01
7.811706625951745156e-03,4.616666666666337515e-01
1.389139705019461560e-02,7.036615384615212410e-01
2.470278535103651030e-02,1.046591288229844041e+00
4.392845456035934792e-02,1.031707721390140442e+00
7.811706625951746197e-02,1.106055925701595388e+00
1.389139705019461490e-01,1.211945105765810604e+00
2.470278535103651030e-01,1.262351288746067501e+00
4.392845456035935348e-01,1.354725898146617480e+00
7.811706625951745364e-01,1.411408898806028711e+00
