# pos_1,max_average_velocity_axis,parameter
1.389139705019461386e-03,1.251780527165106127e-01,2.500000000000000000e-01
2.470278535103650856e-03,1.808616501465879212e-01,2.500000000000000000e-01
4.392845456035934966e-03,3.796115765422686805e-01,2.500000000000000000e-01
7.811706625951745156e-03,5.602837434912231185e-01,2.500000000000000000e-01
1.389139705019461560e-02,7.142453974228901714e-01,5.000000000000000000e-01
2.470278535103651030e-02,8.103774395278634524e-01,1.250000000000000000e+00
4.392845456035934792e-02,8.602097066285514515e-01,1.500000000000000000e+00
7.811706625951746197e-02,8.984739173833987680e-01,1.250000000000000000e+00
1.389139705019461490e-01,9.564760200688454672e-01,1.750000000000000000e+00
2.470278535103651030e-01,1.027881703298542782e+00,1.250000000000000000e+00
4.392845456035935348e-01,1.105305731723331686e+00,1.500000000000000000e+00
7.811706625951745364e-01,1.181260432084804579e+00,1.250000000000000000e+00
