# pos_1,average_velocity_axis
1.389139705019461386e-03,9.021272554605866412e-02
2.470278535103650856e-03,1.468129973474789907e-01
4.392845456035934966e-03,2.421170649738596525e-01
7.811706625951745156e-03,4.295036813687667099e-01
1.389139705019461560e-02,6.594578598965770144e-01
2.470278535103651030e-02,8.019278615616446393e-01
4.392845456035934792e-02,8.534223544328529698e-01
7.811706625951746197e-02,8.934454470847196239e-01
1.389139705019461490e-01,9.538477687596569332e-01
2.470278535103651030e-01,1.024810483777779613e+00
4.392845456035935348e-01,1.102657765944403678e+00
7.811706625951745364e-01,1.179336565105772561e+00
