# pos_1,concentration
1.389139705019461386e-03,0.000000000000000000e+00
2.470278535103650856e-03,0.000000000000000000e+00
4.392845456035934966e-03,0.000000000000000000e+00
7.811706625951745156e-03,0.000000000000000000e+00
1.389139705019461560e-02,2.007790595117811550e-02
2.470278535103651030e-02,2.258127247926540182e-01
4.392845456035934792e-02,3.650785023511407545e-01
7.811706625951746197e-02,5.194950442078148933e-01
1.389139705019461490e-01,7.157773471594999215e-01
2.470278535103651030e-01,9.676075257365223115e-01
4.392845456035935348e-01,1.074283175614139552e+00
7.811706625951745364e-01,1.167524944714470658e+00
