# pos_1,concentration
1.389139705019461386e-03,8.038070637132586072e-01
2.470278535103650856e-03,9.040278588117541814e-01
4.392845456035934966e-03,1.270930560332989234e+00
7.811706625951745156e-03,8.576361306270793294e-01
1.389139705019461560e-02,1.004758829641573037e+00
2.470278535103651030e-02,1.197836912925574593e+00
4.392845456035934792e-02,1.016744448266391210e+00
7.811706625951746197e-02,9.862815502211410568e-01
1.389139705019461490e-01,1.057006288782934789e+00
2.470278535103651030e-01,9.560094606934301797e-01
4.392845456035935348e-01,1.048517712274716240e+00
7.811706625951745364e-01,9.734170082617349395e-01
