# pos_1,average_velocity_axis
1.389139705019461386e-03,nan
2.470278535103650856e-03,1.909743589743621017e-01
4.392845456035934966e-03,3.142115384615105644e-01
7.811706625951745156e-03,4.320045248868704668e-01
1.389139705019461560e-02,6.840090497737500996e-01
2.470278535103651030e-02,8.985089800067785903e-01
4.392845456035934792e-02,9.808824973794150193e-01
7.811706625951746197e-02,9.783543350866643618e-01
1.389139705019461490e-01,1.056327463961298063e+00
2.470278535103651030e-01,1.125437363348251285e+00
4.392845456035935348e-01,1.217129035202811016e+00
7.811706625951745364e-01,1.280569677713476517e+00
