# pos_1,average_velocity_axis
1.389139705019461386e-03,8.996526054590529842e-02
2.470278535103650856e-03,1.389137055837542101e-01
4.392845456035934966e-03,2.465903762420456613e-01
7.811706625951745156e-03,4.476244788492012572e-01
1.389139705019461560e-02,6.585226927544041153e-01
2.470278535103651030e-02,7.902159444714198511e-01
4.392845456035934792e-02,8.458545160696971932e-01
7.811706625951746197e-02,8.918102201594561018e-01
1.389139705019461490e-01,9.506013164138185090e-01
2.470278535103651030e-01,1.022119297380705616e+00
4.392845456035935348e-01,1.098541408313932655e+00
7.811706625951745364e-01,1.174646230263229230e+00
