# surftimeprefactor,average_velocity_axis_0_t_inf__params_0o1,average_velocity_axis_0_t_inf__params_0o2,average_velocity_axis_0_t_inf__params_0o8,average_velocity_axis_0_t_inf__params_0o05,average_velocity_axis_0_t_inf__params_0o4
0.000000000000000000e+00,1.102898141154479816e+00,1.209265984763640001e+00,1.831603690212277868e+00,1.052644156519324081e+00,1.426349319175346686e+00
6.122448979591836593e-02,1.111265606694181063e+00,1.220155874496210657e+00,1.840058581737808119e+00,1.058453688752353239e+00,1.436403115346402082e+00
1.224489795918367319e-01,1.119084852734314683e+00,1.230225571377824290e+00,1.847557827288092813e+00,1.063912153840013586e+00,1.445562059686021694e+00
1.836734693877550839e-01,1.126372538327814032e+00,1.239501394303282655e+00,1.854125256390923404e+00,1.069029748220196696e+00,1.453854851164992912e+00
2.448979591836734637e-01,1.133145322527612464e+00,1.248009662167387956e+00,1.859784698574091122e+00,1.073816668330792812e+00,1.461310188754101569e+00
3.061224489795918435e-01,1.139419864386643777e+00,1.255776693864941951e+00,1.864559983365386975e+00,1.078283110609692397e+00,1.467956771424134388e+00
3.673469387755101678e-01,1.145212822957840881e+00,1.262828808290746840e+00,1.868474940292602637e+00,1.082439271494786581e+00,1.473823298145877869e+00
4.285714285714285476e-01,1.150540857294137131e+00,1.269192324339604827e+00,1.871553398883528896e+00,1.086295347423966051e+00,1.478938467890118957e+00
4.897959183673469274e-01,1.155420626448466548e+00,1.274893560906317669e+00,1.873819188665957425e+00,1.089861534835121493e+00,1.483330979627643931e+00
5.510204081632652517e-01,1.159868789473761819e+00,1.279958836885687345e+00,1.875296139167679454e+00,1.093148030166143592e+00,1.487029532329239068e+00
6.122448979591836871e-01,1.163902005422956742e+00,1.284414471172515615e+00,1.876008079916485771e+00,1.096165029854922812e+00,1.490062824965690869e+00
6.734693877551020114e-01,1.167536933348984451e+00,1.288286782661605123e+00,1.875978840440168272e+00,1.098922730339350506e+00,1.492459556507786722e+00
7.346938775510203357e-01,1.170790232304778522e+00,1.291602090247757406e+00,1.875232250266517742e+00,1.101431328057316916e+00,1.494248425926312462e+00
