# time,average_velocity_axis_0_t_inf,95CLI,us,surftimeprefactor
2.598699999999999832e+01,1.114406956707271856e+00,1.524384324939965065e-03,5.000000000000000278e-02,1.500000000000000000e+00
2.598699999999999832e+01,1.291178374881096103e+00,3.071314240079454916e-03,2.000000000000000111e-01,1.500000000000000000e+00
2.598699999999999832e+01,1.469579426744682671e+00,3.409091083611169581e-03,4.000000000000000222e-01,1.500000000000000000e+00
2.598699999999999832e+01,1.182014536532218774e+00,2.451350168665197404e-03,1.000000000000000056e-01,1.500000000000000000e+00
2.598699999999999832e+01,1.282147156470311966e+00,3.220340772521501985e-03,2.000000000000000111e-01,1.750000000000000000e+00
2.598699999999999832e+01,1.455402459250499048e+00,3.605540178472303736e-03,4.000000000000000222e-01,1.750000000000000000e+00
2.598699999999999832e+01,1.114879985188432787e+00,1.509417363130589494e-03,5.000000000000000278e-02,1.750000000000000000e+00
2.598699999999999832e+01,1.183169398018075080e+00,2.360947487957204115e-03,1.000000000000000056e-01,1.750000000000000000e+00
2.598699999999999832e+01,1.781544696995279287e+00,3.543899919252208736e-03,8.000000000000000444e-01,1.750000000000000000e+00
2.598699999999999832e+01,1.282981661476738200e+00,2.896792397329552536e-03,2.000000000000000111e-01,2.000000000000000000e+00
2.598699999999999832e+01,1.747059457515256709e+00,5.692625725472195107e-03,8.000000000000000444e-01,2.000000000000000000e+00
2.598699999999999832e+01,1.182065348494094836e+00,2.339741089154055015e-03,1.000000000000000056e-01,2.000000000000000000e+00
2.598699999999999832e+01,1.448887790628983208e+00,3.632440526485195519e-03,4.000000000000000222e-01,2.000000000000000000e+00
2.598699999999999832e+01,1.114705246767758284e+00,1.508773506876048874e-03,5.000000000000000278e-02,2.000000000000000000e+00
2.598699999999999832e+01,1.710162896990096382e+00,4.553000812636904572e-03,8.000000000000000444e-01,2.250000000000000000e+00
2.598699999999999832e+01,1.277312409550303451e+00,2.785244849064694942e-03,2.000000000000000111e-01,2.250000000000000000e+00
2.598699999999999832e+01,1.434137554668327930e+00,3.814956614353630024e-03,4.000000000000000222e-01,2.250000000000000000e+00
2.598699999999999832e+01,1.180201689983424451e+00,2.338235575402570782e-03,1.000000000000000056e-01,2.250000000000000000e+00
2.598699999999999832e+01,1.114978242942382680e+00,1.472609362550584330e-03,5.000000000000000278e-02,2.250000000000000000e+00
2.598699999999999832e+01,1.663271521160894606e+00,7.012804299955236083e-03,8.000000000000000444e-01,2.500000000000000000e+00
2.598699999999999832e+01,1.176881285738692773e+00,2.334290049113719751e-03,1.000000000000000056e-01,2.500000000000000000e+00
2.598699999999999832e+01,1.418677113972525383e+00,4.134502555801261754e-03,4.000000000000000222e-01,2.500000000000000000e+00
