# time,position_x,position_y
0.000000000000000000e+00,7.936655124858429389e-01,0.000000000000000000e+00
2.523882289731052553e-01,5.291103416572289220e-01,-1.322775854143065644e-01
6.227296587146970985e-01,1.322775854143074525e-01,-1.322775854143065644e-01
9.021178591108974798e-01,-1.322775854143065644e-01,0.000000000000000000e+00
1.171964308046624659e+00,-2.645551708286140169e-01,2.645551708286149051e-01
1.521205333531991499e+00,-2.645551708286140169e-01,6.613879270715354863e-01
1.755499521335927904e+00,-1.322775854143065644e-01,9.259430979001503914e-01
1.885295967429780006e+00,0.000000000000000000e+00,1.058220683314456956e+00
2.021794396893292323e+00,1.322775854143074525e-01,1.190498268728764408e+00
2.162655306034424019e+00,2.645551708286149051e-01,1.322775854143070973e+00
2.303195565924495813e+00,3.968327562429214694e-01,1.455053439557378425e+00
2.438924185895532837e+00,5.291103416572289220e-01,1.587331024971685878e+00
2.567856820678331875e+00,6.613879270715354863e-01,1.719608610385993330e+00
2.890574538172818286e+00,9.259430979001503914e-01,2.116441366628913912e+00
3.144945284910014571e+00,1.058220683314456956e+00,2.513274122871834493e+00
3.369008827307055753e+00,1.058220683314456956e+00,2.910106879114756850e+00
3.440266213900800452e+00,1.058220683314456956e+00,3.042384464529064303e+00
3.652929017324339611e+00,1.058220683314456956e+00,3.439217220771984884e+00
3.887835334910926477e+00,9.259430979001503914e-01,3.836049977014905465e+00
4.176280491037651643e+00,6.613879270715354863e-01,4.232882733257827823e+00
4.412003060029110024e+00,3.968327562429214694e-01,4.497437904086440952e+00
4.697428922732032497e+00,0.000000000000000000e+00,4.761993074915055857e+00
4.980465236985307520e+00,-3.968327562429205813e-01,5.026548245743670762e+00
5.098323984967797706e+00,-5.291103416572280338e-01,5.158825831157976438e+00
5.395580595102009269e+00,-7.936655124858420507e-01,5.555658587400898796e+00
5.638903954387824768e+00,-9.259430979001495032e-01,5.952491343643819377e+00
5.787826296379340540e+00,-9.259430979001495032e-01,6.217046514472434282e+00
